,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,1071.0,1078.0,1069.0,1072.0,13500.0,1072.0
1,2018-01-05,1073.0,1074.0,1055.0,1056.0,12000.0,1056.0
2,2018-01-09,1060.0,1069.0,1060.0,1068.0,11700.0,1068.0
3,2018-01-10,1070.0,1087.0,1070.0,1087.0,10600.0,1087.0
4,2018-01-11,1085.0,1087.0,1079.0,1080.0,11800.0,1080.0
5,2018-01-12,1084.0,1093.0,1076.0,1083.0,10600.0,1083.0
6,2018-01-15,1082.0,1084.0,1070.0,1080.0,16200.0,1080.0
7,2018-01-16,1080.0,1080.0,1070.0,1075.0,11300.0,1075.0
8,2018-01-17,1075.0,1085.0,1070.0,1070.0,15000.0,1070.0
9,2018-01-18,1071.0,1074.0,1065.0,1072.0,6900.0,1072.0
10,2018-01-19,1070.0,1073.0,1065.0,1070.0,8300.0,1070.0
11,2018-01-22,1071.0,1075.0,1057.0,1060.0,9600.0,1060.0
12,2018-01-23,1060.0,1072.0,1060.0,1063.0,12100.0,1063.0
13,2018-01-24,1067.0,1067.0,1060.0,1065.0,9300.0,1065.0
14,2018-01-25,1072.0,1073.0,1064.0,1065.0,5300.0,1065.0
15,2018-01-26,1062.0,1071.0,1062.0,1068.0,5000.0,1068.0
16,2018-01-29,1075.0,1077.0,1070.0,1070.0,5100.0,1070.0
17,2018-01-30,1075.0,1075.0,1055.0,1066.0,12600.0,1066.0
18,2018-01-31,1058.0,1069.0,1056.0,1057.0,9400.0,1057.0
19,2018-02-01,1061.0,1065.0,1052.0,1053.0,11000.0,1053.0
20,2018-02-02,1054.0,1067.0,1052.0,1058.0,12600.0,1058.0
21,2018-02-05,1050.0,1061.0,1041.0,1055.0,15300.0,1055.0
22,2018-02-06,1000.0,1037.0,946.0,995.0,38400.0,995.0
23,2018-02-07,1002.0,1025.0,987.0,990.0,14600.0,990.0
24,2018-02-08,1000.0,1006.0,989.0,992.0,4900.0,992.0
25,2018-02-09,974.0,979.0,963.0,970.0,10500.0,970.0
26,2018-02-13,980.0,994.0,951.0,963.0,23800.0,963.0
27,2018-02-14,958.0,976.0,958.0,967.0,8100.0,967.0
28,2018-02-15,962.0,982.0,960.0,977.0,5900.0,977.0
29,2018-02-16,990.0,998.0,980.0,998.0,6100.0,998.0
30,2018-02-19,1003.0,1026.0,1003.0,1026.0,5500.0,1026.0
31,2018-02-20,1030.0,1035.0,1026.0,1031.0,3900.0,1031.0
32,2018-02-21,1037.0,1037.0,1020.0,1029.0,5200.0,1029.0
33,2018-02-22,1037.0,1050.0,1022.0,1050.0,7100.0,1050.0
34,2018-02-23,1055.0,1064.0,1045.0,1064.0,13000.0,1064.0
35,2018-02-26,1075.0,1079.0,1024.0,1078.0,11800.0,1078.0
36,2018-02-27,1080.0,1087.0,1071.0,1087.0,12700.0,1087.0
37,2018-02-28,1087.0,1087.0,1060.0,1067.0,6000.0,1067.0
38,2018-03-01,1067.0,1088.0,1047.0,1080.0,14800.0,1080.0
39,2018-03-02,1067.0,1084.0,1050.0,1084.0,16200.0,1084.0
40,2018-03-05,1084.0,1089.0,1061.0,1074.0,15900.0,1090.0
41,2018-03-06,1091.0,1091.0,1076.0,1083.0,9100.0,1083.0
42,2018-03-07,1083.0,1083.0,1066.0,1066.0,4400.0,1066.0
43,2018-03-08,1062.0,1069.0,1052.0,1064.0,7200.0,1064.0
44,2018-03-09,1065.0,1079.0,1051.0,1063.0,6000.0,1063.0
45,2018-03-12,1063.0,1070.0,1052.0,1055.0,6300.0,1055.0
46,2018-03-13,1054.0,1057.0,1041.0,1057.0,7600.0,1057.0
47,2018-03-14,1065.0,1065.0,1022.0,1034.0,10500.0,1034.0
48,2018-03-15,959.0,1000.0,954.0,999.0,86100.0,999.0
49,2018-03-16,993.0,993.0,973.0,989.0,36100.0,989.0
50,2018-03-19,990.0,998.0,951.0,974.0,31100.0,974.0
51,2018-03-20,951.0,994.0,940.0,962.0,56100.0,962.0
52,2018-03-22,963.0,993.0,956.0,992.0,34800.0,992.0
53,2018-03-23,969.0,974.0,945.0,946.0,11700.0,946.0
54,2018-03-26,932.0,943.0,918.0,938.0,11100.0,938.0
55,2018-03-27,968.0,968.0,947.0,965.0,13100.0,965.0
56,2018-03-28,951.0,963.0,947.0,952.0,12000.0,952.0
57,2018-03-29,967.0,967.0,952.0,962.0,9800.0,962.0
58,2018-03-30,965.0,983.0,961.0,975.0,8900.0,975.0
59,2018-04-02,980.0,993.0,975.0,975.0,6400.0,975.0
60,2018-04-03,976.0,978.0,965.0,976.0,7000.0,976.0
61,2018-04-04,981.0,992.0,981.0,988.0,6000.0,988.0
62,2018-04-05,987.0,989.0,982.0,983.0,4900.0,983.0
63,2018-04-06,986.0,990.0,978.0,981.0,7100.0,981.0
64,2018-04-09,971.0,971.0,953.0,953.0,12800.0,953.0
65,2018-04-10,955.0,957.0,941.0,944.0,14400.0,944.0
66,2018-04-11,944.0,945.0,929.0,929.0,14200.0,929.0
67,2018-04-12,929.0,931.0,923.0,925.0,8600.0,925.0
68,2018-04-13,943.0,943.0,926.0,927.0,11000.0,927.0
69,2018-04-16,931.0,933.0,929.0,929.0,6500.0,929.0
70,2018-04-17,936.0,936.0,918.0,923.0,16400.0,923.0
71,2018-04-18,925.0,927.0,921.0,922.0,7800.0,922.0
72,2018-04-19,925.0,934.0,925.0,932.0,8100.0,932.0
73,2018-04-20,939.0,943.0,915.0,915.0,16700.0,915.0
74,2018-04-23,924.0,930.0,914.0,917.0,22700.0,917.0
75,2018-04-24,923.0,928.0,914.0,915.0,16500.0,915.0
76,2018-04-25,917.0,921.0,915.0,915.0,11800.0,915.0
77,2018-04-26,916.0,916.0,876.0,876.0,65900.0,876.0
78,2018-04-27,896.0,897.0,878.0,878.0,23300.0,878.0
79,2018-05-01,879.0,883.0,878.0,880.0,18300.0,880.0
80,2018-05-02,881.0,896.0,881.0,893.0,10900.0,893.0
81,2018-05-07,900.0,913.0,900.0,911.0,11600.0,911.0
82,2018-05-08,915.0,918.0,913.0,913.0,8000.0,913.0
