,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-12-17,1951.0,1963.0,1666.0,1727.0,882800.0,1727.0
1,2018-12-18,1621.0,1645.0,1502.0,1508.0,203200.0,1508.0
2,2018-12-19,1513.0,1535.0,1451.0,1498.0,55100.0,1498.0
3,2018-12-20,1442.0,1550.0,1418.0,1550.0,37500.0,1550.0
4,2018-12-21,1443.0,1499.0,1412.0,1435.0,61100.0,1435.0
5,2018-12-25,1398.0,1400.0,1321.0,1321.0,19600.0,1321.0
6,2018-12-26,1339.0,1394.0,1288.0,1300.0,60800.0,1300.0
7,2018-12-27,1420.0,1420.0,1321.0,1338.0,9500.0,1338.0
8,2018-12-28,1314.0,1327.0,1297.0,1324.0,12100.0,1324.0
9,2019-01-04,1296.0,1320.0,1288.0,1316.0,6900.0,1316.0
10,2019-01-07,1320.0,1345.0,1317.0,1339.0,5100.0,1339.0
11,2019-01-08,1429.0,1479.0,1397.0,1398.0,14400.0,1398.0
12,2019-01-09,1371.0,1385.0,1358.0,1385.0,19400.0,1385.0
13,2019-01-10,1383.0,1387.0,1350.0,1387.0,10900.0,1387.0
14,2019-01-11,1391.0,1440.0,1391.0,1434.0,10700.0,1434.0
15,2019-01-15,1434.0,1475.0,1434.0,1457.0,6800.0,1457.0
16,2019-01-16,1450.0,1450.0,1392.0,1435.0,10300.0,1435.0
17,2019-01-17,1415.0,1444.0,1399.0,1423.0,12100.0,1423.0
18,2019-01-18,1425.0,1530.0,1425.0,1530.0,16100.0,1530.0
19,2019-01-21,1550.0,1596.0,1457.0,1481.0,20900.0,1481.0
20,2019-01-22,1480.0,1483.0,1470.0,1472.0,4000.0,1472.0
21,2019-01-23,1457.0,1480.0,1414.0,1445.0,7400.0,1445.0
22,2019-01-24,1459.0,1470.0,1451.0,1453.0,3400.0,1453.0
23,2019-01-25,1452.0,1485.0,1445.0,1447.0,11500.0,1447.0
24,2019-01-28,1451.0,1451.0,1421.0,1440.0,8900.0,1440.0
25,2019-01-29,1434.0,1469.0,1424.0,1469.0,4200.0,1469.0
26,2019-01-30,1465.0,1483.0,1437.0,1450.0,5000.0,1450.0
27,2019-01-31,1452.0,1511.0,1452.0,1506.0,5300.0,1506.0
28,2019-02-01,1483.0,1483.0,1459.0,1459.0,2700.0,1459.0
29,2019-02-04,1460.0,1492.0,1460.0,1492.0,4300.0,1492.0
30,2019-02-05,1472.0,1485.0,1472.0,1476.0,2500.0,1476.0
31,2019-02-06,1477.0,1516.0,1375.0,1461.0,15900.0,1461.0
32,2019-02-07,1461.0,1479.0,1442.0,1461.0,2800.0,1461.0
33,2019-02-08,1449.0,1473.0,1445.0,1473.0,2800.0,1473.0
34,2019-02-12,1473.0,1508.0,1473.0,1508.0,8600.0,1508.0
35,2019-02-13,1523.0,1578.0,1523.0,1578.0,34000.0,1578.0
36,2019-02-14,1579.0,1579.0,1436.0,1466.0,27300.0,1466.0
37,2019-02-15,1457.0,1464.0,1426.0,1426.0,7800.0,1426.0
38,2019-02-18,1442.0,1469.0,1430.0,1469.0,5600.0,1469.0
39,2019-02-19,1469.0,1498.0,1435.0,1498.0,3200.0,1498.0
40,2019-02-20,1496.0,1497.0,1483.0,1483.0,2100.0,1483.0
41,2019-02-21,1483.0,1483.0,1455.0,1483.0,3200.0,1483.0
42,2019-02-22,1478.0,1485.0,1460.0,1465.0,2400.0,1465.0
43,2019-02-25,1470.0,1470.0,1450.0,1457.0,2300.0,1457.0
44,2019-02-26,1453.0,1462.0,1446.0,1446.0,1100.0,1446.0
45,2019-02-27,1451.0,1460.0,1448.0,1448.0,1700.0,1448.0
46,2019-02-28,1467.0,1490.0,1439.0,1450.0,4200.0,1450.0
