,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,1375.0,1388.0,1373.0,1377.0,17400.0,1377.0
1,2018-01-05,1378.0,1380.0,1367.0,1377.0,16200.0,1377.0
2,2018-01-09,1378.0,1389.0,1378.0,1382.0,12000.0,1382.0
3,2018-01-10,1383.0,1388.0,1378.0,1382.0,8900.0,1382.0
4,2018-01-11,1383.0,1384.0,1377.0,1381.0,7100.0,1381.0
5,2018-01-12,1373.0,1380.0,1371.0,1377.0,10500.0,1377.0
6,2018-01-15,1378.0,1380.0,1373.0,1376.0,7400.0,1376.0
7,2018-01-16,1380.0,1380.0,1368.0,1372.0,6800.0,1372.0
8,2018-01-17,1369.0,1370.0,1353.0,1355.0,15900.0,1355.0
9,2018-01-18,1355.0,1356.0,1336.0,1336.0,14300.0,1336.0
10,2018-01-19,1333.0,1340.0,1331.0,1331.0,8500.0,1331.0
11,2018-01-22,1331.0,1331.0,1325.0,1329.0,7300.0,1329.0
12,2018-01-23,1329.0,1348.0,1329.0,1347.0,10200.0,1347.0
13,2018-01-24,1347.0,1358.0,1347.0,1358.0,4900.0,1358.0
14,2018-01-25,1360.0,1360.0,1351.0,1358.0,5900.0,1358.0
15,2018-01-26,1352.0,1359.0,1348.0,1356.0,17700.0,1356.0
16,2018-01-29,1342.0,1349.0,1330.0,1338.0,13700.0,1338.0
17,2018-01-30,1336.0,1338.0,1330.0,1331.0,6400.0,1331.0
18,2018-01-31,1328.0,1334.0,1315.0,1319.0,9200.0,1319.0
19,2018-02-01,1319.0,1341.0,1319.0,1339.0,6000.0,1339.0
20,2018-02-02,1343.0,1343.0,1318.0,1333.0,9700.0,1333.0
21,2018-02-05,1318.0,1320.0,1302.0,1308.0,11500.0,1308.0
22,2018-02-06,1275.0,1275.0,1205.0,1236.0,37000.0,1236.0
23,2018-02-07,1266.0,1267.0,1219.0,1219.0,17500.0,1219.0
24,2018-02-08,1216.0,1236.0,1216.0,1223.0,5800.0,1223.0
25,2018-02-09,1203.0,1212.0,1200.0,1211.0,14900.0,1211.0
26,2018-02-13,1208.0,1217.0,1206.0,1207.0,10700.0,1207.0
27,2018-02-14,1205.0,1215.0,1202.0,1207.0,11800.0,1207.0
28,2018-02-15,1220.0,1260.0,1219.0,1250.0,19400.0,1250.0
29,2018-02-16,1251.0,1272.0,1247.0,1269.0,7500.0,1269.0
30,2018-02-19,1279.0,1313.0,1278.0,1308.0,8500.0,1308.0
31,2018-02-20,1314.0,1314.0,1295.0,1313.0,5500.0,1313.0
32,2018-02-21,1325.0,1325.0,1294.0,1313.0,6000.0,1313.0
33,2018-02-22,1323.0,1324.0,1300.0,1314.0,2900.0,1314.0
34,2018-02-23,1315.0,1316.0,1303.0,1305.0,4500.0,1305.0
35,2018-02-26,1305.0,1307.0,1294.0,1294.0,11000.0,1294.0
36,2018-02-27,1297.0,1311.0,1289.0,1308.0,8400.0,1308.0
37,2018-02-28,1275.0,1310.0,1275.0,1275.0,22400.0,1275.0
38,2018-03-01,1265.0,1267.0,1252.0,1254.0,6200.0,1254.0
39,2018-03-02,1245.0,1247.0,1227.0,1240.0,14000.0,1240.0
40,2018-03-05,1220.0,1285.0,1183.0,1188.0,21300.0,1188.0
41,2018-03-06,1159.0,1250.0,1159.0,1195.0,32400.0,1195.0
42,2018-03-07,1197.0,1197.0,1167.0,1169.0,10500.0,1169.0
43,2018-03-08,1172.0,1177.0,1161.0,1161.0,6300.0,1161.0
44,2018-03-09,1156.0,1180.0,1155.0,1159.0,13700.0,1159.0
45,2018-03-12,1159.0,1172.0,1159.0,1163.0,7400.0,1163.0
46,2018-03-13,1164.0,1172.0,1159.0,1172.0,9700.0,1172.0
47,2018-03-14,1170.0,1203.0,1158.0,1199.0,16400.0,1199.0
48,2018-03-15,1189.0,1190.0,1177.0,1181.0,6800.0,1181.0
49,2018-03-16,1188.0,1189.0,1179.0,1182.0,3400.0,1182.0
50,2018-03-19,1175.0,1186.0,1171.0,1179.0,9300.0,1179.0
51,2018-03-20,1185.0,1189.0,1172.0,1179.0,4800.0,1179.0
52,2018-03-22,1188.0,1188.0,1168.0,1180.0,7600.0,1180.0
53,2018-03-23,1173.0,1173.0,1153.0,1156.0,12700.0,1156.0
54,2018-03-26,1151.0,1160.0,1133.0,1158.0,11600.0,1158.0
55,2018-03-27,1188.0,1196.0,1178.0,1191.0,12000.0,1191.0
56,2018-03-28,1167.0,1185.0,1167.0,1183.0,6800.0,1183.0
57,2018-03-29,1182.0,1193.0,1173.0,1188.0,8800.0,1188.0
58,2018-03-30,1195.0,1203.0,1195.0,1199.0,8100.0,1199.0
59,2018-04-02,1200.0,1201.0,1190.0,1194.0,7100.0,1194.0
60,2018-04-03,1193.0,1207.0,1189.0,1203.0,8700.0,1203.0
61,2018-04-04,1214.0,1245.0,1214.0,1243.0,10900.0,1243.0
62,2018-04-05,1244.0,1245.0,1229.0,1236.0,8200.0,1236.0
63,2018-04-06,1236.0,1249.0,1235.0,1241.0,5000.0,1241.0
64,2018-04-09,1239.0,1248.0,1238.0,1248.0,4900.0,1248.0
65,2018-04-10,1249.0,1268.0,1245.0,1265.0,6200.0,1265.0
66,2018-04-11,1279.0,1279.0,1258.0,1260.0,6000.0,1260.0
67,2018-04-12,1270.0,1271.0,1254.0,1254.0,5100.0,1254.0
68,2018-04-13,1257.0,1261.0,1248.0,1257.0,3200.0,1257.0
69,2018-04-16,1260.0,1275.0,1260.0,1270.0,7100.0,1270.0
70,2018-04-17,1267.0,1267.0,1256.0,1261.0,5300.0,1261.0
71,2018-04-18,1261.0,1264.0,1251.0,1258.0,4700.0,1258.0
72,2018-04-19,1259.0,1259.0,1250.0,1250.0,4700.0,1250.0
73,2018-04-20,1256.0,1256.0,1241.0,1242.0,5400.0,1242.0
74,2018-04-23,1240.0,1253.0,1235.0,1252.0,4800.0,1252.0
75,2018-04-24,1267.0,1272.0,1267.0,1270.0,5600.0,1270.0
76,2018-04-25,1270.0,1291.0,1267.0,1284.0,5900.0,1284.0
77,2018-04-26,1294.0,1294.0,1262.0,1271.0,12000.0,1271.0
78,2018-04-27,1282.0,1290.0,1280.0,1283.0,4500.0,1283.0
79,2018-05-01,1287.0,1287.0,1265.0,1265.0,8700.0,1265.0
80,2018-05-02,1271.0,1289.0,1267.0,1289.0,6300.0,1289.0
81,2018-05-07,1299.0,1305.0,1293.0,1298.0,15100.0,1298.0
82,2018-05-08,1305.0,1329.0,1305.0,1326.0,14300.0,1326.0
83,2018-05-09,1327.0,1349.0,1319.0,1344.0,10500.0,1344.0
84,2018-05-10,1348.0,1348.0,1336.0,1343.0,4300.0,1343.0
85,2018-05-11,1344.0,1354.0,1341.0,1348.0,4400.0,1348.0
86,2018-05-14,1337.0,1351.0,1337.0,1349.0,8200.0,1349.0
87,2018-05-15,1355.0,1357.0,1342.0,1356.0,4400.0,1356.0
88,2018-05-16,1350.0,1361.0,1347.0,1357.0,4600.0,1357.0
89,2018-05-17,1362.0,1367.0,1358.0,1365.0,3900.0,1365.0
90,2018-05-18,1370.0,1379.0,1365.0,1379.0,9100.0,1379.0
91,2018-05-21,1370.0,1381.0,1370.0,1380.0,4800.0,1380.0
92,2018-05-22,1380.0,1383.0,1376.0,1381.0,4400.0,1381.0
93,2018-05-23,1384.0,1384.0,1376.0,1384.0,4800.0,1384.0
94,2018-05-24,1372.0,1379.0,1364.0,1366.0,11000.0,1366.0
95,2018-05-25,1348.0,1349.0,1343.0,1344.0,6300.0,1344.0
96,2018-05-28,1337.0,1350.0,1337.0,1345.0,6200.0,1345.0
97,2018-05-29,1350.0,1360.0,1350.0,1359.0,5700.0,1359.0
98,2018-05-30,1339.0,1357.0,1339.0,1342.0,7200.0,1342.0
99,2018-05-31,1352.0,1357.0,1343.0,1357.0,7200.0,1357.0
100,2018-06-01,1357.0,1357.0,1341.0,1342.0,6700.0,1342.0
101,2018-06-04,1354.0,1354.0,1333.0,1333.0,14600.0,1333.0
102,2018-06-05,1331.0,1358.0,1322.0,1355.0,12800.0,1355.0
103,2018-06-06,1346.0,1361.0,1346.0,1361.0,3200.0,1361.0
104,2018-06-07,1354.0,1370.0,1354.0,1370.0,4700.0,1370.0
105,2018-06-08,1370.0,1377.0,1366.0,1374.0,5700.0,1374.0
106,2018-06-11,1374.0,1379.0,1372.0,1377.0,6400.0,1377.0
107,2018-06-12,1382.0,1383.0,1375.0,1379.0,5500.0,1379.0
108,2018-06-13,1382.0,1391.0,1378.0,1379.0,8500.0,1379.0
109,2018-06-14,1379.0,1379.0,1371.0,1376.0,3400.0,1376.0
110,2018-06-15,1374.0,1378.0,1365.0,1376.0,6000.0,1376.0
111,2018-06-18,1376.0,1377.0,1359.0,1359.0,9100.0,1359.0
112,2018-06-19,1359.0,1359.0,1328.0,1331.0,8600.0,1331.0
113,2018-06-20,1353.0,1355.0,1343.0,1353.0,7800.0,1353.0
114,2018-06-21,1353.0,1358.0,1348.0,1355.0,4200.0,1355.0
115,2018-06-22,1366.0,1373.0,1355.0,1373.0,8100.0,1373.0
116,2018-06-25,1373.0,1374.0,1365.0,1367.0,6600.0,1367.0
117,2018-06-26,1364.0,1375.0,1359.0,1375.0,7200.0,1375.0
118,2018-06-27,1380.0,1389.0,1376.0,1377.0,16500.0,1377.0
119,2018-06-28,1377.0,1385.0,1372.0,1378.0,11100.0,1378.0
120,2018-06-29,1378.0,1378.0,1370.0,1373.0,6000.0,1373.0
121,2018-07-02,1373.0,1378.0,1368.0,1370.0,11300.0,1370.0
122,2018-07-03,1367.0,1373.0,1350.0,1352.0,9900.0,1352.0
123,2018-07-04,1343.0,1355.0,1334.0,1355.0,12600.0,1355.0
124,2018-07-05,1334.0,1344.0,1304.0,1304.0,14800.0,1304.0
125,2018-07-06,1300.0,1303.0,1278.0,1285.0,12400.0,1285.0
126,2018-07-09,1289.0,1300.0,1289.0,1296.0,7400.0,1296.0
127,2018-07-10,1308.0,1319.0,1302.0,1314.0,9900.0,1314.0
128,2018-07-11,1306.0,1319.0,1300.0,1314.0,8000.0,1314.0
129,2018-07-12,1304.0,1306.0,1295.0,1295.0,8300.0,1295.0
130,2018-07-13,1291.0,1317.0,1291.0,1303.0,10000.0,1303.0
131,2018-07-17,1308.0,1319.0,1305.0,1314.0,35200.0,1314.0
132,2018-07-18,1316.0,1385.0,1316.0,1377.0,38400.0,1377.0
133,2018-07-19,1391.0,1397.0,1364.0,1391.0,58200.0,1391.0
134,2018-07-20,1385.0,1398.0,1375.0,1398.0,30200.0,1398.0
135,2018-07-23,1390.0,1398.0,1389.0,1389.0,19500.0,1389.0
136,2018-07-24,1386.0,1390.0,1380.0,1384.0,22400.0,1384.0
137,2018-07-25,1379.0,1384.0,1353.0,1361.0,32900.0,1361.0
138,2018-07-26,1352.0,1362.0,1316.0,1317.0,151500.0,1317.0
139,2018-07-27,1295.0,1342.0,1295.0,1331.0,91200.0,1331.0
140,2018-07-30,1328.0,1342.0,1328.0,1341.0,23400.0,1341.0
141,2018-07-31,1323.0,1330.0,1306.0,1306.0,13200.0,1306.0
142,2018-08-01,1324.0,1330.0,1323.0,1325.0,7100.0,1325.0
143,2018-08-02,1330.0,1330.0,1281.0,1309.0,12800.0,1309.0
144,2018-08-03,1315.0,1324.0,1305.0,1309.0,16000.0,1309.0
145,2018-08-06,1310.0,1316.0,1309.0,1309.0,10900.0,1309.0
146,2018-08-07,1314.0,1315.0,1302.0,1306.0,6700.0,1306.0
147,2018-08-08,1309.0,1317.0,1300.0,1306.0,8300.0,1306.0
148,2018-08-09,1307.0,1326.0,1303.0,1315.0,7800.0,1315.0
149,2018-08-10,1323.0,1325.0,1306.0,1309.0,7100.0,1309.0
150,2018-08-13,1309.0,1316.0,1290.0,1298.0,11700.0,1298.0
151,2018-08-14,1298.0,1298.0,1292.0,1292.0,5400.0,1292.0
152,2018-08-15,1291.0,1292.0,1234.0,1238.0,18100.0,1238.0
153,2018-08-16,1258.0,1258.0,1210.0,1224.0,8800.0,1224.0
154,2018-08-17,1254.0,1254.0,1228.0,1234.0,6200.0,1234.0
155,2018-08-20,1254.0,1254.0,1226.0,1227.0,2900.0,1227.0
156,2018-08-21,1207.0,1218.0,1207.0,1212.0,7300.0,1212.0
157,2018-08-22,1213.0,1219.0,1201.0,1205.0,7900.0,1205.0
158,2018-08-23,1216.0,1225.0,1211.0,1222.0,3200.0,1222.0
159,2018-08-24,1222.0,1256.0,1222.0,1242.0,3700.0,1242.0
160,2018-08-27,1240.0,1247.0,1234.0,1245.0,2800.0,1245.0
161,2018-08-28,1267.0,1267.0,1239.0,1246.0,3800.0,1246.0
162,2018-08-29,1246.0,1258.0,1244.0,1249.0,2800.0,1249.0
163,2018-08-30,1249.0,1249.0,1236.0,1243.0,2000.0,1243.0
164,2018-08-31,1226.0,1238.0,1226.0,1234.0,3400.0,1234.0
165,2018-09-03,1234.0,1236.0,1200.0,1202.0,12700.0,1202.0
166,2018-09-04,1052.0,1097.0,1048.0,1080.0,76400.0,1080.0
167,2018-09-05,1081.0,1082.0,1060.0,1066.0,37400.0,1066.0
168,2018-09-06,1061.0,1065.0,1052.0,1061.0,11100.0,1061.0
169,2018-09-07,1060.0,1084.0,1056.0,1082.0,12700.0,1082.0
170,2018-09-10,1069.0,1083.0,1069.0,1076.0,3900.0,1076.0
171,2018-09-11,1078.0,1078.0,1067.0,1072.0,4000.0,1072.0
172,2018-09-12,1077.0,1079.0,1064.0,1064.0,5100.0,1064.0
173,2018-09-13,1059.0,1075.0,1059.0,1074.0,5000.0,1074.0
174,2018-09-14,1066.0,1075.0,1060.0,1066.0,9500.0,1066.0
175,2018-09-18,1065.0,1074.0,1053.0,1072.0,11800.0,1072.0
176,2018-09-19,1072.0,1078.0,1067.0,1074.0,6700.0,1074.0
177,2018-09-20,1072.0,1074.0,1063.0,1073.0,5800.0,1073.0
178,2018-09-21,1073.0,1078.0,1065.0,1069.0,7200.0,1069.0
179,2018-09-25,1068.0,1084.0,1068.0,1084.0,10700.0,1084.0
180,2018-09-26,1084.0,1093.0,1084.0,1091.0,12800.0,1091.0
181,2018-09-27,1093.0,1096.0,1085.0,1093.0,9200.0,1093.0
182,2018-09-28,1093.0,1093.0,1077.0,1078.0,2500.0,1078.0
183,2018-10-01,1078.0,1082.0,1076.0,1079.0,5800.0,1079.0
184,2018-10-02,1079.0,1094.0,1076.0,1090.0,5800.0,1090.0
185,2018-10-03,1095.0,1095.0,1067.0,1067.0,4800.0,1067.0
