,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,4350.0,4415.0,4330.0,4415.0,15300.0,4415.0
1,2018-01-05,4420.0,4540.0,4420.0,4505.0,15900.0,4505.0
2,2018-01-09,4520.0,4520.0,4420.0,4475.0,15200.0,4475.0
3,2018-01-10,4445.0,4500.0,4400.0,4495.0,13700.0,4495.0
4,2018-01-11,4465.0,4490.0,4400.0,4455.0,20400.0,4455.0
5,2018-01-12,4465.0,4470.0,4410.0,4430.0,14600.0,4430.0
6,2018-01-15,4470.0,4875.0,4460.0,4850.0,62100.0,4850.0
7,2018-01-16,4915.0,5000.0,4800.0,4825.0,41700.0,4825.0
8,2018-01-17,4865.0,5210.0,4825.0,5070.0,36600.0,5070.0
9,2018-01-18,5020.0,5080.0,4855.0,4910.0,18700.0,4910.0
10,2018-01-19,4915.0,5180.0,4910.0,5040.0,21600.0,5040.0
11,2018-01-22,5140.0,5290.0,5010.0,5060.0,22900.0,5060.0
12,2018-01-23,5060.0,5090.0,4950.0,4990.0,11600.0,4990.0
13,2018-01-24,5100.0,5380.0,5060.0,5310.0,35800.0,5310.0
14,2018-01-25,5410.0,5630.0,5380.0,5600.0,19700.0,5600.0
15,2018-01-26,5780.0,5780.0,5560.0,5750.0,26900.0,5750.0
16,2018-01-29,5850.0,6100.0,5800.0,5980.0,25000.0,5980.0
17,2018-01-30,6020.0,6180.0,5810.0,5890.0,26300.0,5890.0
18,2018-01-31,5690.0,5860.0,5600.0,5640.0,22800.0,5640.0
19,2018-02-01,5640.0,5670.0,5360.0,5450.0,19600.0,5450.0
20,2018-02-02,5450.0,5700.0,5330.0,5600.0,10100.0,5600.0
21,2018-02-05,5370.0,5450.0,5360.0,5410.0,8800.0,5410.0
22,2018-02-06,5060.0,5150.0,4500.0,4850.0,25800.0,4850.0
23,2018-02-07,5010.0,5110.0,4830.0,4840.0,13300.0,4840.0
24,2018-02-08,4800.0,4905.0,4770.0,4905.0,9100.0,4905.0
25,2018-02-09,4625.0,4840.0,4625.0,4820.0,7600.0,4820.0
26,2018-02-13,5030.0,5030.0,4775.0,4830.0,6000.0,4830.0
27,2018-02-14,4830.0,4830.0,4555.0,4600.0,9600.0,4600.0
28,2018-02-15,4630.0,4685.0,4540.0,4575.0,16500.0,4575.0
29,2018-02-16,4580.0,4730.0,4520.0,4685.0,12400.0,4685.0
30,2018-02-19,4880.0,4905.0,4770.0,4845.0,10800.0,4845.0
31,2018-02-20,4850.0,4930.0,4825.0,4885.0,2200.0,4885.0
32,2018-02-21,4955.0,5040.0,4880.0,4920.0,4800.0,4920.0
33,2018-02-22,4925.0,4935.0,4690.0,4755.0,7900.0,4755.0
34,2018-02-23,4780.0,5070.0,4780.0,5000.0,8100.0,5000.0
35,2018-02-26,4975.0,5090.0,4960.0,5000.0,8300.0,5000.0
36,2018-02-27,5070.0,5070.0,4970.0,4980.0,4700.0,4980.0
37,2018-02-28,4970.0,4990.0,4885.0,4925.0,2800.0,4925.0
38,2018-03-01,4885.0,4885.0,4840.0,4850.0,2500.0,4850.0
39,2018-03-02,4770.0,4840.0,4690.0,4820.0,15800.0,4820.0
40,2018-03-05,4750.0,4750.0,4635.0,4675.0,11600.0,4675.0
41,2018-03-06,4765.0,4795.0,4735.0,4765.0,3500.0,4765.0
42,2018-03-07,4770.0,4780.0,4690.0,4690.0,3100.0,4690.0
43,2018-03-08,4760.0,4795.0,4760.0,4790.0,1200.0,4790.0
44,2018-03-09,4835.0,4850.0,4805.0,4850.0,1600.0,4850.0
45,2018-03-12,4900.0,4955.0,4715.0,4715.0,9900.0,4715.0
46,2018-03-13,4725.0,4765.0,4685.0,4685.0,5000.0,4685.0
47,2018-03-14,4745.0,4900.0,4730.0,4900.0,7400.0,4900.0
48,2018-03-15,4760.0,4770.0,4670.0,4745.0,8800.0,4745.0
49,2018-03-16,4800.0,4805.0,4700.0,4765.0,6700.0,4765.0
50,2018-03-19,4795.0,4845.0,4735.0,4780.0,9800.0,4780.0
51,2018-03-20,4800.0,4930.0,4780.0,4930.0,5400.0,4930.0
52,2018-03-22,4995.0,5400.0,4930.0,5280.0,19500.0,5280.0
53,2018-03-23,5040.0,5240.0,4900.0,5130.0,26400.0,5130.0
54,2018-03-26,5120.0,5330.0,5100.0,5190.0,22500.0,5190.0
55,2018-03-27,5290.0,5420.0,5140.0,5300.0,17200.0,5300.0
56,2018-03-28,5180.0,5280.0,5120.0,5190.0,11500.0,5190.0
57,2018-03-29,5230.0,5730.0,5200.0,5650.0,20300.0,5650.0
58,2018-03-30,5670.0,5900.0,5560.0,5820.0,17000.0,5820.0
59,2018-04-02,5820.0,6370.0,5750.0,6200.0,32900.0,6200.0
60,2018-04-03,6070.0,6350.0,6070.0,6260.0,12200.0,6260.0
61,2018-04-04,6300.0,6650.0,6300.0,6360.0,16400.0,6360.0
