,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-09-20,6400.0,7400.0,6000.0,7380.0,639400.0,7380.0
1,2018-09-21,6930.0,7450.0,6300.0,6400.0,462000.0,6400.0
2,2018-09-25,6320.0,6600.0,6080.0,6290.0,105200.0,6290.0
3,2018-09-26,6490.0,7000.0,6370.0,6600.0,249400.0,6600.0
4,2018-09-27,6510.0,6780.0,6380.0,6570.0,71400.0,6570.0
5,2018-09-28,6600.0,7570.0,6570.0,7570.0,161700.0,7570.0
6,2018-10-01,7800.0,9070.0,7670.0,9070.0,270400.0,9070.0
7,2018-10-02,9520.0,9600.0,8220.0,8840.0,298100.0,8840.0
8,2018-10-03,8980.0,10340.0,8620.0,10340.0,365000.0,10340.0
9,2018-10-04,10940.0,11000.0,9720.0,9780.0,333800.0,9780.0
10,2018-10-05,9510.0,9650.0,8700.0,9080.0,218000.0,9080.0
11,2018-10-09,8630.0,8700.0,7670.0,7900.0,78800.0,7900.0
12,2018-10-10,8000.0,8660.0,7680.0,8050.0,107700.0,8050.0
13,2018-10-11,7310.0,7700.0,7020.0,7580.0,78800.0,7580.0
14,2018-10-12,7470.0,7890.0,7230.0,7610.0,62500.0,7610.0
15,2018-10-15,7510.0,8160.0,7240.0,7430.0,44700.0,7430.0
16,2018-10-16,7700.0,8450.0,7620.0,8400.0,84300.0,8400.0
17,2018-10-17,8650.0,8720.0,8170.0,8170.0,71300.0,8170.0
18,2018-10-18,8130.0,8510.0,7950.0,7960.0,27500.0,7960.0
19,2018-10-19,7660.0,8080.0,7500.0,8010.0,26900.0,8010.0
20,2018-10-22,7860.0,8300.0,7860.0,8300.0,19000.0,8300.0
21,2018-10-23,8280.0,8280.0,7700.0,7730.0,11400.0,7730.0
22,2018-10-24,7920.0,8050.0,7900.0,7950.0,11200.0,7950.0
23,2018-10-25,7510.0,7700.0,7370.0,7590.0,23500.0,7590.0
24,2018-10-26,7740.0,7740.0,7200.0,7350.0,12500.0,7350.0
25,2018-10-29,7260.0,7450.0,6730.0,7000.0,14200.0,7000.0
26,2018-10-30,6850.0,7650.0,6660.0,7400.0,13300.0,7400.0
27,2018-10-31,7790.0,7790.0,7420.0,7450.0,2600.0,7450.0
28,2018-11-01,7320.0,7510.0,7270.0,7510.0,1600.0,7510.0
29,2018-11-02,7660.0,8520.0,7650.0,8090.0,20000.0,8090.0
30,2018-11-05,8180.0,8200.0,7890.0,7970.0,9100.0,7970.0
31,2018-11-06,7900.0,7940.0,7570.0,7760.0,7300.0,7760.0
32,2018-11-07,7790.0,7790.0,7110.0,7110.0,18800.0,7110.0
33,2018-11-08,7410.0,7590.0,7370.0,7500.0,12700.0,7500.0
34,2018-11-09,7510.0,8950.0,7510.0,8500.0,51900.0,8500.0
35,2018-11-12,7690.0,7900.0,7000.0,7000.0,54300.0,7000.0
36,2018-11-13,6150.0,6390.0,6010.0,6230.0,98100.0,6230.0
37,2018-11-14,6160.0,6300.0,5700.0,5760.0,80400.0,5760.0
38,2018-11-15,5700.0,5700.0,5420.0,5670.0,40400.0,5670.0
39,2018-11-16,5620.0,5920.0,5330.0,5730.0,39900.0,5730.0
40,2018-11-19,5730.0,5730.0,5400.0,5540.0,17500.0,5540.0
41,2018-11-20,5310.0,5990.0,5310.0,5920.0,32500.0,5920.0
42,2018-11-21,5620.0,6000.0,5600.0,5820.0,37500.0,5820.0
43,2018-11-22,5720.0,5770.0,5500.0,5600.0,24700.0,5600.0
44,2018-11-26,5500.0,5710.0,5500.0,5580.0,7800.0,5580.0
45,2018-11-27,5560.0,5620.0,5470.0,5470.0,10800.0,5470.0
46,2018-11-28,5410.0,5460.0,5270.0,5380.0,16400.0,5380.0
47,2018-11-29,5500.0,5900.0,5460.0,5780.0,40500.0,5780.0
48,2018-11-30,5780.0,5970.0,5660.0,5960.0,31000.0,5960.0
49,2018-12-03,5960.0,6290.0,5790.0,5800.0,34100.0,5800.0
50,2018-12-04,5840.0,6640.0,5840.0,6470.0,69000.0,6470.0
51,2018-12-05,6350.0,7470.0,6320.0,7370.0,176100.0,7370.0
52,2018-12-06,7430.0,7560.0,7020.0,7560.0,62300.0,7560.0
53,2018-12-07,7700.0,9060.0,7700.0,9060.0,188300.0,9060.0
54,2018-12-10,9290.0,9790.0,8650.0,8720.0,150200.0,8720.0
55,2018-12-11,9170.0,9330.0,8150.0,8280.0,93200.0,8280.0
56,2018-12-12,8520.0,9060.0,8000.0,9000.0,54000.0,9000.0
57,2018-12-13,9040.0,9430.0,8600.0,8840.0,80900.0,8840.0
58,2018-12-14,8940.0,9170.0,8510.0,8740.0,49600.0,8740.0
59,2018-12-17,8790.0,9420.0,8200.0,8210.0,66600.0,8210.0
60,2018-12-18,7970.0,8450.0,7720.0,7930.0,30500.0,7930.0
61,2018-12-19,7900.0,8140.0,7500.0,7540.0,39000.0,7540.0
62,2018-12-20,7420.0,7700.0,6450.0,7060.0,70300.0,7060.0
63,2018-12-21,6920.0,7000.0,6330.0,6840.0,55500.0,6840.0
64,2018-12-25,6370.0,6700.0,6250.0,6460.0,23400.0,6460.0
65,2018-12-26,6780.0,7070.0,6280.0,6710.0,30500.0,6710.0
66,2018-12-27,7100.0,7220.0,6800.0,7070.0,28300.0,7070.0
67,2018-12-28,6980.0,6980.0,6660.0,6790.0,15500.0,6790.0
68,2019-01-04,6530.0,7350.0,6360.0,7140.0,27300.0,7140.0
