,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,4590.0,4600.0,4435.0,4435.0,10200.0,2217.5
1,2018-01-05,4450.0,4470.0,4350.0,4355.0,3600.0,2177.5
2,2018-01-09,4360.0,4465.0,4360.0,4460.0,3600.0,2230.0
3,2018-01-10,4600.0,4690.0,4500.0,4665.0,9000.0,2332.5
4,2018-01-11,4695.0,4700.0,4515.0,4625.0,4200.0,2312.5
5,2018-01-12,4570.0,4675.0,4535.0,4585.0,2900.0,2292.5
6,2018-01-15,4620.0,4715.0,4500.0,4715.0,7100.0,2357.5
7,2018-01-16,4720.0,4780.0,4610.0,4750.0,4100.0,2375.0
8,2018-01-17,4695.0,4755.0,4605.0,4625.0,7700.0,2312.5
9,2018-01-18,4575.0,4940.0,4575.0,4940.0,9200.0,2470.0
10,2018-01-19,4975.0,5200.0,4975.0,5160.0,26500.0,2580.0
11,2018-01-22,5300.0,5300.0,5100.0,5270.0,13600.0,2635.0
12,2018-01-23,5400.0,5400.0,5150.0,5200.0,8500.0,2600.0
13,2018-01-24,5200.0,5200.0,4980.0,5000.0,8500.0,2500.0
14,2018-01-25,4955.0,4960.0,4710.0,4710.0,7800.0,2355.0
15,2018-01-26,4640.0,5000.0,4620.0,5000.0,9300.0,2500.0
16,2018-01-29,5080.0,5080.0,4860.0,4980.0,3000.0,2490.0
17,2018-01-30,4850.0,4850.0,4750.0,4750.0,3100.0,2375.0
18,2018-01-31,4630.0,4715.0,4615.0,4615.0,6100.0,2307.5
19,2018-02-01,4620.0,4955.0,4620.0,4955.0,12800.0,2477.5
20,2018-02-02,4750.0,4800.0,4685.0,4765.0,4700.0,2382.5
21,2018-02-05,4695.0,4760.0,4605.0,4735.0,5200.0,2367.5
22,2018-02-06,4245.0,4360.0,4035.0,4205.0,13200.0,2102.5
23,2018-02-07,4310.0,4360.0,4200.0,4200.0,5900.0,2100.0
24,2018-02-08,4245.0,4290.0,4125.0,4145.0,6300.0,2072.5
25,2018-02-09,3725.0,3880.0,3725.0,3820.0,10200.0,1910.0
26,2018-02-13,3900.0,3915.0,3820.0,3905.0,6000.0,1952.5
27,2018-02-14,3975.0,3995.0,3810.0,3950.0,7500.0,1975.0
28,2018-02-15,4005.0,4005.0,3870.0,3885.0,3000.0,1942.5
29,2018-02-16,3830.0,3950.0,3820.0,3950.0,2900.0,1975.0
30,2018-02-19,4300.0,4405.0,4215.0,4305.0,20200.0,2152.5
31,2018-02-20,4305.0,4380.0,4300.0,4300.0,6400.0,2150.0
32,2018-02-21,4300.0,4350.0,4300.0,4300.0,2300.0,2150.0
33,2018-02-22,4370.0,4375.0,4300.0,4315.0,4400.0,2157.5
34,2018-02-23,4355.0,4355.0,4245.0,4310.0,3800.0,2155.0
35,2018-02-26,4350.0,4370.0,4300.0,4370.0,900.0,2185.0
36,2018-02-27,4385.0,4385.0,4300.0,4300.0,2300.0,2150.0
37,2018-02-28,4300.0,4415.0,4300.0,4300.0,3600.0,2150.0
38,2018-03-01,4300.0,4380.0,4300.0,4375.0,3300.0,2187.5
39,2018-03-02,4305.0,4350.0,4300.0,4350.0,3300.0,2175.0
40,2018-03-05,4355.0,4375.0,4300.0,4300.0,3300.0,2150.0
41,2018-03-06,4300.0,4380.0,4300.0,4375.0,1000.0,2187.5
42,2018-03-07,4305.0,4315.0,4300.0,4300.0,1100.0,2150.0
43,2018-03-08,4370.0,4370.0,4300.0,4300.0,1200.0,2150.0
44,2018-03-09,4365.0,4370.0,4305.0,4305.0,600.0,2152.5
45,2018-03-12,4320.0,4340.0,4320.0,4330.0,1300.0,2165.0
46,2018-03-13,4380.0,4390.0,4325.0,4325.0,500.0,2162.5
47,2018-03-14,4335.0,4420.0,4335.0,4340.0,800.0,2170.0
48,2018-03-15,4400.0,4650.0,4400.0,4650.0,1800.0,2325.0
49,2018-03-16,4695.0,4700.0,4645.0,4645.0,900.0,2322.5
50,2018-03-19,4650.0,4650.0,4505.0,4580.0,4400.0,2290.0
51,2018-03-20,4650.0,4670.0,4600.0,4670.0,5400.0,2335.0
52,2018-03-22,4670.0,4690.0,4625.0,4650.0,4000.0,2325.0
53,2018-03-23,4615.0,4645.0,4500.0,4570.0,2700.0,2285.0
54,2018-03-26,4500.0,4600.0,4315.0,4600.0,1900.0,2300.0
55,2018-03-27,4600.0,4650.0,4580.0,4600.0,2300.0,2300.0
56,2018-03-28,4540.0,4540.0,4510.0,4510.0,200.0,2255.0
57,2018-03-29,4505.0,4545.0,4500.0,4545.0,600.0,2272.5
58,2018-03-30,4475.0,4505.0,4450.0,4500.0,1100.0,2250.0
59,2018-04-02,4530.0,4550.0,4500.0,4500.0,1300.0,2250.0
60,2018-04-03,4500.0,4590.0,4370.0,4370.0,1200.0,2185.0
61,2018-04-04,4495.0,4495.0,4450.0,4465.0,1500.0,2232.5
62,2018-04-05,4485.0,4500.0,4465.0,4500.0,1300.0,2250.0
63,2018-04-06,4595.0,4600.0,4510.0,4530.0,2200.0,2265.0
64,2018-04-09,4600.0,4600.0,4535.0,4550.0,1600.0,2275.0
65,2018-04-10,4565.0,4650.0,4560.0,4560.0,1900.0,2280.0
66,2018-04-11,4625.0,4685.0,4595.0,4680.0,3100.0,2340.0
67,2018-04-12,4680.0,4680.0,4680.0,4680.0,100.0,2340.0
68,2018-04-13,4675.0,4675.0,4600.0,4600.0,800.0,2300.0
69,2018-04-16,4550.0,4550.0,4530.0,4530.0,800.0,2265.0
70,2018-04-17,4500.0,4500.0,4500.0,4500.0,100.0,2250.0
71,2018-04-18,4520.0,4520.0,4450.0,4450.0,200.0,2225.0
72,2018-04-19,4495.0,4495.0,4415.0,4490.0,900.0,2245.0
73,2018-04-20,4490.0,4490.0,4485.0,4485.0,200.0,2242.5
74,2018-04-23,4470.0,4470.0,4370.0,4370.0,800.0,2185.0
75,2018-04-24,4470.0,4550.0,4435.0,4550.0,1700.0,2275.0
76,2018-04-25,4645.0,4645.0,4530.0,4545.0,2600.0,2272.5
77,2018-04-26,4550.0,4550.0,4545.0,4550.0,1200.0,2275.0
78,2018-04-27,4550.0,4620.0,4545.0,4545.0,1700.0,2272.5
79,2018-05-01,4545.0,4700.0,4545.0,4610.0,3000.0,2305.0
80,2018-05-02,4630.0,4790.0,4630.0,4770.0,4400.0,2385.0
81,2018-05-07,4770.0,4925.0,4755.0,4925.0,5500.0,2462.5
82,2018-05-08,4900.0,4900.0,4815.0,4815.0,400.0,2407.5
83,2018-05-09,4835.0,4835.0,4835.0,4835.0,100.0,2417.5
84,2018-05-10,4825.0,4910.0,4585.0,4585.0,2400.0,2292.5
85,2018-05-11,4580.0,4705.0,4500.0,4705.0,1600.0,2352.5
86,2018-05-14,4895.0,4895.0,4730.0,4800.0,4000.0,2400.0
87,2018-05-15,4800.0,4920.0,4720.0,4920.0,2400.0,2460.0
