,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,2310.0,2370.0,2301.0,2304.0,3800.0,2304.0
1,2018-01-05,2305.0,2334.0,2300.0,2302.0,1500.0,2302.0
2,2018-01-09,2311.0,2311.0,2281.0,2283.0,4500.0,2283.0
3,2018-01-10,2283.0,2290.0,2280.0,2290.0,3500.0,2290.0
4,2018-01-11,2300.0,2314.0,2295.0,2298.0,2100.0,2298.0
5,2018-01-12,2298.0,2313.0,2298.0,2298.0,2800.0,2298.0
6,2018-01-15,2305.0,2310.0,2297.0,2297.0,1200.0,2297.0
7,2018-01-16,2297.0,2312.0,2290.0,2290.0,2600.0,2290.0
8,2018-01-17,2291.0,2310.0,2290.0,2292.0,2700.0,2292.0
9,2018-01-18,2319.0,2324.0,2302.0,2324.0,2800.0,2324.0
10,2018-01-19,2325.0,2355.0,2320.0,2320.0,3500.0,2320.0
11,2018-01-22,2325.0,2344.0,2287.0,2344.0,5400.0,2344.0
12,2018-01-23,2343.0,2350.0,2314.0,2350.0,1800.0,2350.0
13,2018-01-24,2350.0,2360.0,2321.0,2321.0,1700.0,2321.0
14,2018-01-25,2322.0,2331.0,2301.0,2308.0,4400.0,2308.0
15,2018-01-26,2311.0,2371.0,2311.0,2371.0,3500.0,2371.0
16,2018-01-29,2378.0,2378.0,2340.0,2372.0,5800.0,2372.0
17,2018-01-30,2380.0,2380.0,2308.0,2312.0,4500.0,2312.0
18,2018-01-31,2312.0,2339.0,2303.0,2318.0,900.0,2318.0
19,2018-02-01,2330.0,2370.0,2330.0,2370.0,2300.0,2370.0
20,2018-02-02,2370.0,2375.0,2316.0,2331.0,8200.0,2331.0
21,2018-02-05,2081.0,2120.0,2020.0,2030.0,79400.0,2030.0
22,2018-02-06,1995.0,1995.0,1888.0,1928.0,39500.0,1928.0
23,2018-02-07,2034.0,2035.0,1845.0,1856.0,23400.0,1856.0
24,2018-02-08,1876.0,1910.0,1876.0,1910.0,7300.0,1910.0
25,2018-02-09,1800.0,1875.0,1761.0,1850.0,20500.0,1850.0
26,2018-02-13,1850.0,1887.0,1810.0,1815.0,11800.0,1815.0
27,2018-02-14,1815.0,1828.0,1755.0,1800.0,4500.0,1800.0
28,2018-02-15,1804.0,1830.0,1800.0,1825.0,4800.0,1825.0
29,2018-02-16,1821.0,1843.0,1821.0,1839.0,3300.0,1839.0
30,2018-02-19,1871.0,1914.0,1870.0,1914.0,6200.0,1914.0
31,2018-02-20,1920.0,1957.0,1911.0,1940.0,6800.0,1940.0
