,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,2455.0,2780.0,2455.0,2735.0,3127400.0,2735.0
1,2018-01-05,2685.0,2786.0,2616.0,2760.0,1166400.0,2760.0
2,2018-01-09,2845.0,2845.0,2677.0,2779.0,879300.0,2779.0
3,2018-01-10,2750.0,2820.0,2693.0,2725.0,530300.0,2725.0
4,2018-01-11,2675.0,2697.0,2450.0,2480.0,1032400.0,2480.0
5,2018-01-12,2437.0,2530.0,2431.0,2448.0,530600.0,2448.0
6,2018-01-15,2428.0,2512.0,2338.0,2481.0,656200.0,2481.0
7,2018-01-16,2493.0,2550.0,2339.0,2371.0,740300.0,2371.0
8,2018-01-17,2221.0,2242.0,2023.0,2044.0,1434600.0,2044.0
9,2018-01-18,2105.0,2136.0,2006.0,2014.0,807700.0,2014.0
10,2018-01-19,2050.0,2105.0,1991.0,2032.0,444800.0,2032.0
11,2018-01-22,2001.0,2051.0,1985.0,2040.0,281600.0,2040.0
12,2018-01-23,2050.0,2127.0,2033.0,2074.0,408400.0,2074.0
13,2018-01-24,2044.0,2100.0,2021.0,2054.0,272800.0,2054.0
14,2018-01-25,2026.0,2045.0,2007.0,2029.0,174100.0,2029.0
15,2018-01-26,2056.0,2064.0,1980.0,2005.0,395400.0,2005.0
16,2018-01-29,2285.0,2297.0,2036.0,2054.0,3076600.0,2054.0
17,2018-01-30,2036.0,2061.0,1877.0,1915.0,1008500.0,1915.0
18,2018-01-31,1896.0,1914.0,1835.0,1842.0,471100.0,1842.0
19,2018-02-01,1882.0,1892.0,1825.0,1864.0,388700.0,1864.0
20,2018-02-02,1843.0,1899.0,1756.0,1829.0,696800.0,1829.0
21,2018-02-05,1738.0,1779.0,1707.0,1770.0,448200.0,1770.0
22,2018-02-06,1555.0,1642.0,1482.0,1592.0,723800.0,1592.0
23,2018-02-07,1712.0,1739.0,1619.0,1627.0,371100.0,1627.0
24,2018-02-08,1661.0,1727.0,1643.0,1709.0,257800.0,1709.0
25,2018-02-09,1589.0,1695.0,1575.0,1694.0,305500.0,1694.0
26,2018-02-13,1730.0,1760.0,1662.0,1669.0,275700.0,1669.0
27,2018-02-14,1652.0,1734.0,1635.0,1701.0,256200.0,1701.0
28,2018-02-15,1530.0,1600.0,1490.0,1530.0,475700.0,1530.0
29,2018-02-16,1570.0,1728.0,1569.0,1702.0,546700.0,1702.0
30,2018-02-19,1708.0,1830.0,1686.0,1830.0,542200.0,1830.0
31,2018-02-20,1803.0,1944.0,1790.0,1806.0,1110900.0,1806.0
32,2018-02-21,1806.0,1818.0,1747.0,1782.0,388500.0,1782.0
33,2018-02-22,1751.0,1796.0,1712.0,1787.0,418000.0,1787.0
34,2018-02-23,1783.0,1811.0,1732.0,1797.0,227400.0,1797.0
35,2018-02-26,1806.0,1888.0,1790.0,1846.0,480200.0,1846.0
36,2018-02-27,1879.0,1909.0,1791.0,1796.0,393100.0,1796.0
37,2018-02-28,1799.0,1898.0,1798.0,1872.0,293200.0,1872.0
38,2018-03-01,1868.0,1962.0,1855.0,1929.0,519600.0,1929.0
39,2018-03-02,1852.0,1975.0,1852.0,1941.0,300000.0,1941.0
40,2018-03-05,1948.0,1987.0,1794.0,1809.0,316100.0,1806.0
41,2018-03-06,1860.0,1929.0,1857.0,1929.0,275500.0,1929.0
42,2018-03-07,1929.0,1943.0,1868.0,1878.0,222500.0,1878.0
43,2018-03-08,1900.0,1971.0,1853.0,1953.0,339600.0,1953.0
44,2018-03-09,2030.0,2045.0,1860.0,1869.0,524300.0,1869.0
45,2018-03-12,1883.0,1895.0,1813.0,1840.0,223000.0,1840.0
46,2018-03-13,1840.0,1917.0,1823.0,1910.0,209600.0,1910.0
47,2018-03-14,1894.0,2022.0,1880.0,1940.0,349700.0,1940.0
48,2018-03-15,1912.0,1912.0,1831.0,1862.0,418100.0,1862.0
