,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,3565.0,3600.0,3410.0,3530.0,34600.0,1765.0
1,2018-01-05,3600.0,3600.0,3445.0,3500.0,15300.0,1750.0
2,2018-01-09,3495.0,3520.0,3410.0,3500.0,31300.0,1750.0
3,2018-01-10,3465.0,3490.0,3420.0,3475.0,10500.0,1737.5
4,2018-01-11,3410.0,3495.0,3405.0,3420.0,11900.0,1710.0
5,2018-01-12,3535.0,3780.0,3515.0,3685.0,66700.0,1842.5
6,2018-01-15,3755.0,3765.0,3650.0,3710.0,27000.0,1855.0
7,2018-01-16,3720.0,3720.0,3630.0,3665.0,15000.0,1832.5
8,2018-01-17,3670.0,4100.0,3670.0,4030.0,83600.0,2015.0
9,2018-01-18,4030.0,4155.0,3850.0,3890.0,47600.0,1945.0
10,2018-01-19,3950.0,4225.0,3950.0,4180.0,63700.0,2090.0
11,2018-01-22,4165.0,4245.0,4045.0,4230.0,30900.0,2115.0
12,2018-01-23,4270.0,4680.0,4240.0,4470.0,61500.0,2235.0
13,2018-01-24,4525.0,4675.0,4340.0,4360.0,48700.0,2180.0
14,2018-01-25,4310.0,4600.0,4280.0,4480.0,25400.0,2240.0
15,2018-01-26,4500.0,4525.0,4425.0,4440.0,22400.0,2220.0
16,2018-01-29,4465.0,4720.0,4330.0,4390.0,48800.0,2195.0
17,2018-01-30,4335.0,4585.0,4335.0,4570.0,43500.0,2285.0
18,2018-01-31,4500.0,4700.0,4415.0,4475.0,41700.0,2237.5
19,2018-02-01,4430.0,4600.0,4375.0,4495.0,27600.0,2247.5
20,2018-02-02,4495.0,4510.0,4340.0,4405.0,23300.0,2202.5
21,2018-02-05,4195.0,4370.0,4150.0,4340.0,22500.0,2170.0
22,2018-02-06,3920.0,4140.0,3640.0,3880.0,93300.0,1940.0
23,2018-02-07,4090.0,4200.0,3600.0,3715.0,47400.0,1857.5
24,2018-02-08,3770.0,3950.0,3725.0,3750.0,28900.0,1875.0
25,2018-02-09,3400.0,3750.0,3400.0,3680.0,33200.0,1840.0
26,2018-02-13,3120.0,3290.0,3115.0,3130.0,73400.0,1565.0
27,2018-02-14,3130.0,3155.0,2905.0,3010.0,49400.0,1505.0
28,2018-02-15,3080.0,3175.0,2965.0,3115.0,32600.0,1557.5
29,2018-02-16,3125.0,3300.0,3125.0,3270.0,12300.0,1635.0
30,2018-02-19,3310.0,3480.0,3310.0,3425.0,36500.0,1712.5
31,2018-02-20,3370.0,3645.0,3360.0,3630.0,20900.0,1815.0
32,2018-02-21,3570.0,3725.0,3495.0,3580.0,19500.0,1790.0
33,2018-02-22,3515.0,3590.0,3405.0,3535.0,12400.0,1767.5
34,2018-02-23,3535.0,3635.0,3450.0,3515.0,5800.0,1757.5
35,2018-02-26,3655.0,3655.0,3505.0,3510.0,8800.0,1755.0
36,2018-02-27,3515.0,3565.0,3485.0,3545.0,6700.0,1772.5
37,2018-02-28,3475.0,3645.0,3455.0,3550.0,9800.0,1775.0
38,2018-03-01,3480.0,3550.0,3450.0,3470.0,10400.0,1735.0
39,2018-03-02,3400.0,3495.0,3385.0,3480.0,7100.0,1740.0
40,2018-03-05,3410.0,3460.0,3100.0,3205.0,31600.0,1580.0
41,2018-03-06,3370.0,3525.0,3240.0,3300.0,12400.0,1650.0
42,2018-03-07,3600.0,3980.0,3530.0,3700.0,108500.0,1850.0
43,2018-03-08,3680.0,3775.0,3610.0,3635.0,21300.0,1817.5
44,2018-03-09,3705.0,3880.0,3665.0,3745.0,24500.0,1872.5
45,2018-03-12,3800.0,4140.0,3790.0,3960.0,28600.0,1980.0
46,2018-03-13,3900.0,4130.0,3810.0,4095.0,31700.0,2047.5
47,2018-03-14,4110.0,4165.0,3990.0,4100.0,10200.0,2050.0
48,2018-03-15,4100.0,4265.0,4040.0,4120.0,19700.0,2060.0
49,2018-03-16,4170.0,4210.0,4040.0,4125.0,15800.0,2062.5
50,2018-03-19,4200.0,4215.0,3920.0,4095.0,23600.0,2047.5
51,2018-03-20,4025.0,4165.0,3915.0,4150.0,21400.0,2075.0
52,2018-03-22,4190.0,4260.0,4045.0,4080.0,15600.0,2040.0
53,2018-03-23,3870.0,4130.0,3865.0,4095.0,37000.0,2047.5
54,2018-03-26,4080.0,4135.0,3780.0,4045.0,15700.0,2022.5
55,2018-03-27,4080.0,4285.0,4080.0,4200.0,25500.0,2100.0
56,2018-03-28,4120.0,4400.0,4120.0,4280.0,22700.0,2140.0
57,2018-03-29,4295.0,4360.0,4220.0,4315.0,26800.0,2157.5
58,2018-03-30,4350.0,4350.0,4260.0,4280.0,7600.0,2140.0
59,2018-04-02,4400.0,4945.0,4400.0,4765.0,66000.0,2382.5
60,2018-04-03,4700.0,4770.0,4600.0,4645.0,22400.0,2322.5
61,2018-04-04,4575.0,4695.0,4550.0,4675.0,16500.0,2337.5
62,2018-04-05,4665.0,4665.0,4525.0,4525.0,19100.0,2262.5
63,2018-04-06,4535.0,4550.0,4340.0,4350.0,25100.0,2175.0
64,2018-04-09,4350.0,4470.0,4255.0,4285.0,35900.0,2142.5
65,2018-04-10,4425.0,4425.0,4250.0,4260.0,5700.0,2130.0
66,2018-04-11,4270.0,4305.0,4095.0,4095.0,15800.0,2047.5
67,2018-04-12,4025.0,4225.0,4015.0,4180.0,12400.0,2090.0
68,2018-04-13,4190.0,4340.0,4190.0,4335.0,27400.0,2167.5
69,2018-04-16,4400.0,4480.0,4130.0,4150.0,24200.0,2075.0
70,2018-04-17,4150.0,4275.0,3840.0,4075.0,27100.0,2037.5
71,2018-04-18,4045.0,4150.0,3970.0,4050.0,9400.0,2025.0
72,2018-04-19,4075.0,4075.0,3935.0,3940.0,7700.0,1970.0
73,2018-04-20,3940.0,4025.0,3920.0,3980.0,6200.0,1990.0
74,2018-04-23,4000.0,4165.0,4000.0,4165.0,11600.0,2082.5
75,2018-04-24,4170.0,4560.0,4170.0,4515.0,42800.0,2257.5
76,2018-04-25,4575.0,4770.0,4475.0,4715.0,45400.0,2357.5
77,2018-04-26,4890.0,4975.0,4655.0,4915.0,39400.0,2457.5
78,2018-04-27,4950.0,5460.0,4880.0,5360.0,73900.0,2680.0
79,2018-05-01,5300.0,5480.0,5270.0,5390.0,28700.0,2695.0
80,2018-05-02,5380.0,5720.0,5120.0,5410.0,32300.0,2705.0
81,2018-05-07,5460.0,5460.0,5260.0,5300.0,23800.0,2650.0
82,2018-05-08,5300.0,5500.0,5200.0,5250.0,42700.0,2625.0
83,2018-05-09,5450.0,5480.0,4570.0,4585.0,179700.0,2292.5
84,2018-05-10,4515.0,4775.0,4400.0,4440.0,75900.0,2220.0
85,2018-05-11,4435.0,4540.0,4365.0,4420.0,25400.0,2210.0
86,2018-05-14,4440.0,4535.0,4125.0,4350.0,68300.0,2175.0
87,2018-05-15,4770.0,5050.0,4500.0,4530.0,125500.0,2265.0
88,2018-05-16,4505.0,4735.0,4375.0,4665.0,25300.0,2332.5
89,2018-05-17,4735.0,5250.0,4605.0,5060.0,51600.0,2530.0
90,2018-05-18,5250.0,5350.0,4910.0,5150.0,38300.0,2575.0
91,2018-05-21,5150.0,5290.0,5110.0,5160.0,13100.0,2580.0
92,2018-05-22,5140.0,5290.0,4950.0,4980.0,26200.0,2490.0
93,2018-05-23,4955.0,4995.0,4815.0,4980.0,17400.0,2490.0
94,2018-05-24,4980.0,5250.0,4930.0,5180.0,14500.0,2590.0
95,2018-05-25,5130.0,5820.0,5130.0,5420.0,78600.0,2710.0
96,2018-05-28,5410.0,5640.0,5350.0,5400.0,31400.0,2700.0
97,2018-05-29,5360.0,5530.0,5170.0,5420.0,29700.0,2710.0
98,2018-05-30,5220.0,5620.0,5200.0,5570.0,22900.0,2785.0
99,2018-05-31,5670.0,5670.0,5250.0,5250.0,27000.0,2625.0
100,2018-06-01,5310.0,5550.0,5240.0,5480.0,26800.0,2740.0
101,2018-06-04,5480.0,5540.0,5320.0,5380.0,10200.0,2690.0
102,2018-06-05,5330.0,5380.0,5090.0,5140.0,31600.0,2570.0
103,2018-06-06,5100.0,5260.0,5070.0,5210.0,14800.0,2605.0
104,2018-06-07,5210.0,5600.0,5210.0,5580.0,20100.0,2790.0
105,2018-06-08,5640.0,5730.0,5480.0,5520.0,16500.0,2760.0
106,2018-06-11,5520.0,5580.0,5350.0,5520.0,11100.0,2760.0
107,2018-06-12,5490.0,5670.0,5410.0,5650.0,15600.0,2825.0
108,2018-06-13,5670.0,6200.0,5670.0,5930.0,44000.0,2965.0
109,2018-06-14,5930.0,6180.0,5860.0,6080.0,26500.0,3040.0
110,2018-06-15,6150.0,6370.0,5750.0,5820.0,44800.0,2910.0
111,2018-06-18,5860.0,6070.0,5730.0,6030.0,31900.0,3015.0
112,2018-06-19,6130.0,6340.0,5800.0,6060.0,34000.0,3030.0
113,2018-06-20,5970.0,6440.0,5830.0,6410.0,34400.0,3205.0
114,2018-06-21,6390.0,6530.0,6240.0,6330.0,28600.0,3165.0
115,2018-06-22,6290.0,6400.0,6170.0,6250.0,13500.0,3125.0
116,2018-06-25,6150.0,6340.0,5870.0,5950.0,40000.0,2975.0
117,2018-06-26,5800.0,5830.0,5580.0,5660.0,56000.0,2830.0
118,2018-06-27,5660.0,6230.0,5650.0,6180.0,35000.0,3090.0
119,2018-06-28,6230.0,6290.0,5900.0,6060.0,28700.0,3030.0
120,2018-06-29,6150.0,6470.0,6050.0,6340.0,37300.0,3170.0
121,2018-07-02,6350.0,6850.0,6350.0,6610.0,53600.0,3305.0
122,2018-07-03,6800.0,7100.0,6650.0,6820.0,63700.0,3410.0
123,2018-07-04,6790.0,6820.0,6400.0,6410.0,33300.0,3205.0
124,2018-07-05,6420.0,6700.0,6110.0,6170.0,35500.0,3085.0
125,2018-07-06,6270.0,7020.0,6100.0,6820.0,64900.0,3410.0
126,2018-07-09,7000.0,7660.0,6950.0,7460.0,70400.0,3730.0
127,2018-07-10,7710.0,7710.0,7140.0,7260.0,43600.0,3630.0
128,2018-07-11,7500.0,7890.0,7340.0,7450.0,58200.0,3725.0
129,2018-07-12,7480.0,7480.0,7180.0,7210.0,25500.0,3605.0
130,2018-07-13,7200.0,7280.0,6860.0,6990.0,54700.0,3495.0
131,2018-07-17,7080.0,7150.0,6770.0,6910.0,35800.0,3455.0
132,2018-07-18,6930.0,7790.0,6930.0,7720.0,53800.0,3860.0
133,2018-07-19,7570.0,7690.0,7190.0,7290.0,37700.0,3645.0
134,2018-07-20,7250.0,7760.0,7130.0,7380.0,50200.0,3690.0
135,2018-07-23,7380.0,7680.0,7270.0,7600.0,33700.0,3800.0
136,2018-07-24,7600.0,8040.0,7400.0,7560.0,63500.0,3780.0
137,2018-07-25,7510.0,7790.0,7400.0,7470.0,28000.0,3735.0
138,2018-07-26,7510.0,7530.0,7130.0,7140.0,44800.0,3570.0
139,2018-07-27,7100.0,7670.0,7060.0,7480.0,44900.0,3740.0
140,2018-07-30,7400.0,7450.0,7070.0,7340.0,35600.0,3670.0
141,2018-07-31,7310.0,7680.0,7270.0,7390.0,32600.0,3695.0
142,2018-08-01,7330.0,7440.0,7210.0,7270.0,15300.0,3635.0
143,2018-08-02,7270.0,7460.0,7130.0,7460.0,24800.0,3730.0
144,2018-08-03,7480.0,7770.0,7480.0,7580.0,34100.0,3790.0
145,2018-08-06,7700.0,7710.0,7390.0,7390.0,18000.0,3695.0
146,2018-08-07,7320.0,7430.0,7130.0,7410.0,25800.0,3705.0
147,2018-08-08,7390.0,7830.0,7390.0,7730.0,36000.0,3865.0
148,2018-08-09,7700.0,7710.0,7510.0,7510.0,13700.0,3755.0
149,2018-08-10,7590.0,7830.0,7210.0,7260.0,33300.0,3630.0
150,2018-08-13,7030.0,7300.0,6430.0,6930.0,49900.0,3465.0
151,2018-08-14,6830.0,6870.0,6460.0,6780.0,45500.0,3390.0
152,2018-08-15,6710.0,6730.0,6410.0,6490.0,43100.0,3245.0
153,2018-08-16,6440.0,6600.0,6260.0,6390.0,35700.0,3195.0
154,2018-08-17,6400.0,6650.0,6220.0,6630.0,32400.0,3315.0
155,2018-08-20,6680.0,6920.0,6420.0,6440.0,16800.0,3220.0
156,2018-08-21,6290.0,6410.0,5880.0,6050.0,42500.0,3025.0
157,2018-08-22,5960.0,5980.0,5650.0,5730.0,48400.0,2865.0
158,2018-08-23,5750.0,5910.0,5650.0,5740.0,30400.0,2870.0
159,2018-08-24,5900.0,6290.0,5840.0,6240.0,29500.0,3120.0
160,2018-08-27,6140.0,6300.0,6100.0,6230.0,15800.0,3115.0
161,2018-08-28,5630.0,5710.0,5230.0,5270.0,81700.0,2635.0
162,2018-08-29,5340.0,5650.0,5280.0,5410.0,37500.0,2705.0
163,2018-08-30,5480.0,5600.0,5420.0,5500.0,20500.0,2750.0
164,2018-08-31,5490.0,5540.0,5360.0,5480.0,18800.0,2740.0
165,2018-09-03,5500.0,5500.0,5330.0,5400.0,6900.0,2700.0
166,2018-09-04,5340.0,5780.0,5340.0,5690.0,33300.0,2845.0
167,2018-09-05,5700.0,5820.0,5460.0,5480.0,158200.0,2740.0
168,2018-09-06,5470.0,5480.0,5470.0,5470.0,103000.0,2735.0
169,2018-09-07,5370.0,5590.0,5250.0,5500.0,16700.0,2750.0
170,2018-09-10,5520.0,6130.0,5520.0,6100.0,30500.0,3050.0
171,2018-09-11,6000.0,6310.0,6000.0,6200.0,30800.0,3100.0
172,2018-09-12,6170.0,6430.0,6000.0,6380.0,41000.0,3190.0
173,2018-09-13,6370.0,6670.0,6370.0,6550.0,36700.0,3275.0
174,2018-09-14,6480.0,6740.0,6350.0,6360.0,33500.0,3180.0
175,2018-09-18,5700.0,5740.0,5490.0,5510.0,80700.0,2755.0
176,2018-09-19,5510.0,5680.0,5510.0,5610.0,45400.0,2805.0
177,2018-09-20,5660.0,5660.0,5570.0,5630.0,24400.0,2815.0
178,2018-09-21,5630.0,5630.0,5460.0,5460.0,19800.0,2730.0
179,2018-09-25,5480.0,5520.0,5420.0,5470.0,14700.0,2735.0
180,2018-09-26,5500.0,5500.0,5420.0,5440.0,10300.0,2720.0
181,2018-09-27,5440.0,5450.0,5310.0,5320.0,16300.0,2660.0
182,2018-09-28,5000.0,5200.0,4940.0,4960.0,69500.0,2480.0
183,2018-10-01,4995.0,5030.0,4885.0,4960.0,18400.0,2480.0
184,2018-10-02,4895.0,4895.0,4610.0,4640.0,32300.0,2320.0
185,2018-10-03,4600.0,4610.0,4410.0,4600.0,65700.0,2300.0
186,2018-10-04,4595.0,4795.0,4485.0,4705.0,74700.0,2352.5
187,2018-10-05,4715.0,4940.0,4570.0,4610.0,65500.0,2305.0
188,2018-10-09,4550.0,4565.0,4455.0,4515.0,40300.0,2257.5
189,2018-10-10,4500.0,4825.0,4410.0,4750.0,72100.0,2375.0
190,2018-10-11,4500.0,4600.0,4430.0,4460.0,55100.0,2230.0
191,2018-10-12,4360.0,4495.0,4255.0,4365.0,46100.0,2182.5
192,2018-10-15,4300.0,4310.0,4120.0,4160.0,25500.0,2080.0
193,2018-10-16,4150.0,4195.0,4020.0,4120.0,30100.0,2060.0
194,2018-10-17,4120.0,4335.0,4120.0,4235.0,61200.0,2117.5
195,2018-10-18,4120.0,4125.0,3880.0,3940.0,90700.0,1970.0
196,2018-10-19,3840.0,3915.0,3795.0,3860.0,35500.0,1930.0
197,2018-10-22,3930.0,3985.0,3855.0,3920.0,18100.0,1960.0
198,2018-10-23,3950.0,3985.0,3830.0,3845.0,15500.0,1922.5
199,2018-10-24,3830.0,3855.0,3640.0,3670.0,31900.0,1835.0
200,2018-10-25,3495.0,3560.0,3405.0,3500.0,36900.0,1750.0
201,2018-10-26,3470.0,3560.0,3315.0,3470.0,37800.0,1735.0
202,2018-10-29,3470.0,3470.0,3090.0,3145.0,56900.0,1572.5
203,2018-10-30,3145.0,3415.0,3145.0,3360.0,40700.0,1680.0
204,2018-10-31,3360.0,3500.0,3350.0,3455.0,24400.0,1727.5
205,2018-11-01,3455.0,3585.0,3375.0,3500.0,18300.0,1750.0
206,2018-11-02,3440.0,3790.0,3440.0,3755.0,49500.0,1877.5
207,2018-11-05,3625.0,3740.0,3565.0,3570.0,34900.0,1785.0
208,2018-11-06,3570.0,3735.0,3440.0,3460.0,31400.0,1730.0
209,2018-11-07,3460.0,3585.0,3320.0,3475.0,33900.0,1737.5
210,2018-11-08,3595.0,3700.0,3595.0,3660.0,37800.0,1830.0
211,2018-11-09,3700.0,3925.0,3615.0,3725.0,67200.0,1862.5
212,2018-11-12,3165.0,3220.0,3025.0,3075.0,165300.0,1537.5
213,2018-11-13,2935.0,3000.0,2830.0,2940.0,65700.0,1470.0
214,2018-11-14,2950.0,2985.0,2790.0,2871.0,54000.0,1435.5
215,2018-11-15,2921.0,3060.0,2871.0,2983.0,29000.0,1491.5
216,2018-11-16,3035.0,3035.0,2855.0,2889.0,25500.0,1444.5
217,2018-11-19,2939.0,3140.0,2904.0,3105.0,29500.0,1552.5
218,2018-11-20,3055.0,3080.0,2982.0,3015.0,16700.0,1507.5
219,2018-11-21,2917.0,3215.0,2875.0,2974.0,24100.0,1487.0
220,2018-11-22,3020.0,3135.0,2992.0,3030.0,12700.0,1515.0
221,2018-11-26,3030.0,3120.0,2970.0,3050.0,12300.0,1525.0
222,2018-11-27,3105.0,3120.0,3035.0,3080.0,11300.0,1540.0
223,2018-11-28,3125.0,3140.0,3045.0,3065.0,8200.0,1532.5
224,2018-11-29,3135.0,3165.0,3080.0,3095.0,13500.0,1547.5
225,2018-11-30,3095.0,3285.0,3040.0,3250.0,33000.0,1625.0
226,2018-12-03,3250.0,3300.0,3175.0,3200.0,14900.0,1600.0
227,2018-12-04,3255.0,3330.0,3155.0,3190.0,22800.0,1595.0
228,2018-12-05,3095.0,3260.0,3060.0,3220.0,17400.0,1610.0
229,2018-12-06,3160.0,3160.0,2980.0,3030.0,18200.0,1515.0
230,2018-12-07,3065.0,3120.0,2983.0,3000.0,8100.0,1500.0
231,2018-12-10,3015.0,3065.0,2870.0,2900.0,19000.0,1450.0
232,2018-12-11,2901.0,2930.0,2721.0,2736.0,12200.0,1368.0
233,2018-12-12,2650.0,2813.0,2648.0,2670.0,28300.0,1335.0
234,2018-12-13,2691.0,2714.0,2562.0,2628.0,30100.0,1314.0
235,2018-12-14,2578.0,2625.0,2500.0,2507.0,36400.0,1253.5
236,2018-12-17,2500.0,2523.0,2366.0,2366.0,27100.0,1183.0
237,2018-12-18,2400.0,2414.0,2331.0,2350.0,15000.0,1175.0
238,2018-12-19,2430.0,2478.0,2382.0,2426.0,13600.0,1213.0
239,2018-12-20,2361.0,2372.0,2127.0,2227.0,49300.0,1113.5
240,2018-12-21,2197.0,2260.0,2121.0,2185.0,26200.0,1092.5
241,2018-12-25,2000.0,2120.0,1911.0,2002.0,46200.0,1001.0
242,2018-12-26,2005.0,2162.0,2005.0,2162.0,27500.0,1081.0
243,2018-12-27,2258.0,2380.0,2190.0,2349.0,35600.0,1174.5
244,2018-12-28,2251.0,2391.0,2251.0,2304.0,22600.0,1152.0
245,2019-01-04,2205.0,2214.0,2133.0,2183.0,12200.0,1091.5
246,2019-01-07,2250.0,2423.0,2250.0,2409.0,13200.0,1204.5
247,2019-01-08,2382.0,2467.0,2382.0,2400.0,37000.0,1200.0
248,2019-01-09,2400.0,2435.0,2350.0,2406.0,12000.0,1203.0
249,2019-01-10,2410.0,2428.0,2380.0,2387.0,4500.0,1193.5
250,2019-01-11,2405.0,2486.0,2401.0,2432.0,6000.0,1216.0
251,2019-01-15,2419.0,2600.0,2419.0,2513.0,10400.0,1256.5
252,2019-01-16,2545.0,2583.0,2505.0,2520.0,13000.0,1260.0
253,2019-01-17,2570.0,2570.0,2430.0,2504.0,12100.0,1252.0
254,2019-01-18,2504.0,2567.0,2501.0,2521.0,5600.0,1260.5
255,2019-01-21,2571.0,2571.0,2500.0,2502.0,6400.0,1251.0
256,2019-01-22,2541.0,2544.0,2451.0,2451.0,6200.0,1225.5
257,2019-01-23,2457.0,2464.0,2436.0,2463.0,4400.0,1231.5
258,2019-01-24,2466.0,2468.0,2420.0,2450.0,3400.0,1225.0
259,2019-01-25,2450.0,2517.0,2450.0,2495.0,3700.0,1247.5
260,2019-01-28,2525.0,2545.0,2500.0,2500.0,3500.0,1250.0
261,2019-01-29,2464.0,2508.0,2446.0,2490.0,3700.0,1245.0
262,2019-01-30,2566.0,2566.0,2456.0,2457.0,5700.0,1228.5
263,2019-01-31,2507.0,2550.0,2460.0,2527.0,4600.0,1263.5
264,2019-02-01,2575.0,2604.0,2535.0,2596.0,7900.0,1298.0
265,2019-02-04,2650.0,2733.0,2590.0,2733.0,28900.0,1366.5
266,2019-02-05,2783.0,2839.0,2755.0,2820.0,31000.0,1410.0
267,2019-02-06,2870.0,3045.0,2870.0,2980.0,68700.0,1490.0
268,2019-02-07,3045.0,3070.0,2911.0,2997.0,22300.0,1498.5
269,2019-02-08,2990.0,3025.0,2800.0,2851.0,14500.0,1425.5
270,2019-02-12,3075.0,3075.0,2801.0,2809.0,58800.0,1404.5
271,2019-02-13,2800.0,2827.0,2800.0,2822.0,18400.0,1411.0
272,2019-02-14,2804.0,2977.0,2804.0,2961.0,17500.0,1480.5
273,2019-02-15,2951.0,2960.0,2895.0,2905.0,9100.0,1452.5
274,2019-02-18,2930.0,3030.0,2930.0,3020.0,9100.0,1510.0
275,2019-02-19,3040.0,3040.0,2976.0,2979.0,12500.0,1489.5
276,2019-02-20,2967.0,3010.0,2967.0,2984.0,8600.0,1492.0
277,2019-02-21,3000.0,3005.0,2969.0,2977.0,18100.0,1488.5
278,2019-02-22,2969.0,3005.0,2964.0,2972.0,11400.0,1486.0
279,2019-02-25,2983.0,3250.0,2980.0,3200.0,46800.0,1600.0
280,2019-02-26,1560.0,1650.0,1560.0,1600.0,25900.0,1600.0
281,2019-02-27,1620.0,1631.0,1603.0,1617.0,13900.0,1617.0
282,2019-02-28,1621.0,1622.0,1567.0,1567.0,27500.0,1567.0
283,2019-03-01,1586.0,1586.0,1546.0,1555.0,17400.0,1555.0
284,2019-03-04,1560.0,1565.0,1544.0,1551.0,23200.0,1551.0
285,2019-03-05,1545.0,1590.0,1545.0,1589.0,26900.0,1589.0
286,2019-03-06,1594.0,1594.0,1514.0,1539.0,18900.0,1539.0
