,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,5920.0,5970.0,5810.0,5920.0,8200.0,740.0
1,2018-01-05,5840.0,5920.0,5800.0,5810.0,7600.0,726.3
2,2018-01-09,5810.0,5830.0,5600.0,5650.0,14900.0,706.3
3,2018-01-10,5660.0,5730.0,5650.0,5670.0,5600.0,708.8
4,2018-01-11,5670.0,5800.0,5640.0,5720.0,5300.0,715.0
5,2018-01-12,5720.0,5740.0,5660.0,5670.0,5700.0,708.8
6,2018-01-15,5700.0,5720.0,5660.0,5690.0,4400.0,711.3
7,2018-01-16,5690.0,5820.0,5690.0,5760.0,7300.0,720.0
8,2018-01-17,5760.0,5800.0,5710.0,5710.0,3800.0,713.8
9,2018-01-18,5780.0,5800.0,5690.0,5790.0,4900.0,723.8
10,2018-01-19,5720.0,5780.0,5720.0,5780.0,2700.0,722.5
11,2018-01-22,5780.0,5780.0,5660.0,5700.0,4000.0,712.5
12,2018-01-23,5690.0,5770.0,5690.0,5720.0,2300.0,715.0
13,2018-01-24,5750.0,6110.0,5750.0,6080.0,17000.0,760.0
14,2018-01-25,6030.0,6050.0,5920.0,6000.0,13700.0,750.0
15,2018-01-26,6000.0,6020.0,5850.0,5860.0,7000.0,732.5
16,2018-01-29,5870.0,6160.0,5870.0,6130.0,23300.0,766.3
17,2018-01-30,6130.0,6130.0,5830.0,5970.0,14800.0,746.3
18,2018-01-31,5870.0,6010.0,5870.0,5990.0,6300.0,748.8
19,2018-02-01,5980.0,6100.0,5950.0,6080.0,11200.0,760.0
20,2018-02-02,6080.0,6080.0,5880.0,6020.0,7500.0,752.5
21,2018-02-05,5820.0,5900.0,5720.0,5860.0,10000.0,732.5
22,2018-02-06,5500.0,5500.0,4920.0,5210.0,22800.0,651.3
23,2018-02-07,5600.0,5700.0,5450.0,5590.0,14900.0,698.8
24,2018-02-08,6590.0,6590.0,6590.0,6590.0,4800.0,823.8
25,2018-02-09,6600.0,7390.0,6600.0,7320.0,231100.0,915.0
26,2018-02-13,7380.0,7380.0,6890.0,7100.0,49900.0,887.5
27,2018-02-14,7040.0,7690.0,6800.0,7650.0,49200.0,956.3
28,2018-02-15,7650.0,7700.0,7270.0,7460.0,26100.0,932.5
29,2018-02-16,7580.0,7770.0,7470.0,7610.0,20800.0,951.3
30,2018-02-19,7700.0,8430.0,7450.0,8210.0,30000.0,1026.3
31,2018-02-20,8110.0,8210.0,7860.0,7970.0,17500.0,996.3
32,2018-02-21,8190.0,8490.0,8090.0,8400.0,21500.0,1050.0
33,2018-02-22,8400.0,8400.0,8030.0,8210.0,13400.0,1026.3
34,2018-02-23,8330.0,8340.0,8000.0,8150.0,11700.0,1018.8
35,2018-02-26,8280.0,8280.0,8060.0,8210.0,8700.0,1026.3
36,2018-02-27,8090.0,8440.0,7940.0,8420.0,26000.0,1052.5
37,2018-02-28,8300.0,8940.0,8260.0,8890.0,17300.0,1111.3
38,2018-03-01,8890.0,9260.0,8630.0,9160.0,24800.0,1145.0
39,2018-03-02,8890.0,9040.0,8640.0,8910.0,13400.0,1113.8
40,2018-03-05,8910.0,9350.0,8560.0,8790.0,32900.0,1090.0
41,2018-03-06,8790.0,10220.0,8790.0,10180.0,114800.0,1272.5
42,2018-03-07,10000.0,10060.0,9020.0,9210.0,99300.0,1151.3
43,2018-03-08,9430.0,9750.0,9160.0,9310.0,37200.0,1163.8
44,2018-03-09,9440.0,9750.0,9090.0,9660.0,37700.0,1207.5
45,2018-03-12,10100.0,10150.0,9360.0,9490.0,31200.0,1186.3
46,2018-03-13,9530.0,10750.0,9330.0,10600.0,54100.0,1325.0
47,2018-03-14,10380.0,11320.0,10320.0,10990.0,40400.0,1373.8
48,2018-03-15,11000.0,11500.0,10660.0,10750.0,29900.0,1343.8
