,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,3420.0,3490.0,3310.0,3455.0,76900.0,863.8
1,2018-01-05,3430.0,3480.0,3420.0,3430.0,27100.0,857.5
2,2018-01-09,3450.0,3450.0,3230.0,3320.0,23600.0,830.0
3,2018-01-10,3260.0,3280.0,3155.0,3255.0,21500.0,813.8
4,2018-01-11,3255.0,3260.0,3170.0,3180.0,5900.0,795.0
5,2018-01-12,3225.0,3225.0,3165.0,3185.0,4300.0,796.3
6,2018-01-15,3190.0,3205.0,3120.0,3170.0,7100.0,792.5
7,2018-01-16,3175.0,3195.0,3150.0,3180.0,3600.0,795.0
8,2018-01-17,3170.0,3185.0,3150.0,3155.0,4500.0,788.8
9,2018-01-18,3170.0,3245.0,3150.0,3150.0,8400.0,787.5
10,2018-01-19,3150.0,3155.0,3100.0,3125.0,9800.0,781.3
11,2018-01-22,3120.0,3260.0,3120.0,3225.0,7900.0,806.3
12,2018-01-23,3225.0,3300.0,3210.0,3280.0,8900.0,820.0
13,2018-01-24,3315.0,3485.0,3270.0,3440.0,42600.0,860.0
14,2018-01-25,3490.0,3490.0,3300.0,3325.0,53800.0,831.3
15,2018-01-26,3340.0,3355.0,3250.0,3315.0,7600.0,828.8
16,2018-01-29,3340.0,3340.0,3180.0,3215.0,16700.0,803.8
17,2018-01-30,3195.0,3205.0,3100.0,3140.0,16900.0,785.0
18,2018-01-31,3115.0,3150.0,3100.0,3135.0,3600.0,783.8
19,2018-02-01,3120.0,3185.0,3120.0,3165.0,3400.0,791.3
20,2018-02-02,3180.0,3180.0,3105.0,3110.0,4000.0,777.5
21,2018-02-05,2946.0,3000.0,2945.0,2953.0,9500.0,738.3
22,2018-02-06,2753.0,2790.0,2512.0,2606.0,21000.0,651.5
23,2018-02-07,2856.0,2856.0,2600.0,2621.0,11600.0,655.3
24,2018-02-08,2645.0,2777.0,2645.0,2758.0,4600.0,689.5
25,2018-02-09,2596.0,2696.0,2551.0,2610.0,12700.0,652.5
26,2018-02-13,2660.0,2688.0,2635.0,2639.0,5200.0,659.8
27,2018-02-14,2700.0,2730.0,2652.0,2674.0,21600.0,668.5
28,2018-02-15,2680.0,2738.0,2680.0,2738.0,12000.0,684.5
29,2018-02-16,2746.0,2810.0,2746.0,2783.0,6300.0,695.8
30,2018-02-19,2795.0,2975.0,2784.0,2830.0,10500.0,707.5
31,2018-02-20,2841.0,2910.0,2841.0,2881.0,6800.0,720.3
32,2018-02-21,2881.0,2970.0,2881.0,2940.0,9400.0,735.0
33,2018-02-22,2990.0,3125.0,2965.0,3110.0,12300.0,777.5
34,2018-02-23,3050.0,3110.0,3035.0,3065.0,4900.0,766.3
35,2018-02-26,3200.0,3200.0,3080.0,3175.0,10000.0,793.8
36,2018-02-27,3245.0,3250.0,3140.0,3155.0,5100.0,788.8
37,2018-02-28,3155.0,3175.0,3070.0,3100.0,7300.0,775.0
38,2018-03-01,3150.0,3175.0,3095.0,3140.0,5400.0,785.0
