,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,10600.0,10700.0,10110.0,10360.0,94300.0,3453.3
1,2018-01-05,10300.0,10450.0,9740.0,9750.0,76300.0,3250.0
2,2018-01-09,9900.0,9900.0,9300.0,9320.0,49300.0,3106.7
3,2018-01-10,9320.0,9850.0,9320.0,9650.0,39800.0,3216.7
4,2018-01-11,9430.0,9650.0,9350.0,9490.0,16500.0,3163.3
5,2018-01-12,9640.0,9810.0,9470.0,9600.0,29100.0,3200.0
6,2018-01-15,9750.0,10500.0,9600.0,10450.0,64900.0,3483.3
7,2018-01-16,10480.0,10480.0,10010.0,10170.0,56200.0,3390.0
8,2018-01-17,10070.0,10150.0,9770.0,9860.0,32100.0,3286.7
9,2018-01-18,9900.0,9930.0,9450.0,9500.0,39000.0,3166.7
10,2018-01-19,9500.0,9500.0,9150.0,9250.0,25300.0,3083.3
11,2018-01-22,9190.0,9450.0,9050.0,9270.0,13100.0,3090.0
12,2018-01-23,9360.0,10060.0,9200.0,9980.0,61100.0,3326.7
13,2018-01-24,9830.0,10170.0,9800.0,9900.0,27900.0,3300.0
14,2018-01-25,9920.0,10100.0,9650.0,9790.0,17700.0,3263.3
15,2018-01-26,9700.0,9920.0,9670.0,9760.0,9300.0,3253.3
16,2018-01-29,10030.0,10250.0,9860.0,9960.0,44600.0,3320.0
17,2018-01-30,9860.0,9860.0,9500.0,9770.0,20100.0,3256.7
18,2018-01-31,9620.0,9740.0,9540.0,9660.0,11700.0,3220.0
19,2018-02-01,9580.0,9670.0,9400.0,9420.0,11900.0,3140.0
20,2018-02-02,9320.0,9380.0,9120.0,9160.0,13100.0,3053.3
21,2018-02-05,8700.0,8990.0,8630.0,8850.0,17600.0,2950.0
22,2018-02-06,8200.0,8390.0,7350.0,7650.0,32200.0,2550.0
23,2018-02-07,8400.0,8410.0,7530.0,7650.0,16400.0,2550.0
24,2018-02-08,8000.0,8290.0,7800.0,8210.0,9500.0,2736.7
25,2018-02-09,7460.0,8420.0,7460.0,8350.0,11700.0,2783.3
26,2018-02-13,9670.0,9680.0,8600.0,8680.0,38500.0,2893.3
27,2018-02-14,8530.0,8640.0,7660.0,8080.0,20300.0,2693.3
28,2018-02-15,8130.0,8250.0,8000.0,8040.0,7600.0,2680.0
29,2018-02-16,8190.0,8410.0,8110.0,8330.0,11800.0,2776.7
30,2018-02-19,8420.0,8880.0,8420.0,8750.0,20500.0,2916.7
31,2018-02-20,8650.0,8780.0,8600.0,8670.0,14200.0,2890.0
32,2018-02-21,8570.0,8760.0,8510.0,8610.0,13900.0,2870.0
33,2018-02-22,8600.0,8600.0,8390.0,8490.0,8500.0,2830.0
34,2018-02-23,9990.0,9990.0,9470.0,9620.0,142100.0,3206.7
35,2018-02-26,9530.0,9690.0,9260.0,9550.0,24700.0,3183.3
36,2018-02-27,9530.0,9570.0,9270.0,9320.0,13600.0,3106.7
