,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,1451.0,1491.0,1429.0,1488.0,60000.0,1488.0
1,2018-01-05,1498.0,1508.0,1491.0,1501.0,49500.0,1501.0
2,2018-01-09,1506.0,1506.0,1470.0,1501.0,59500.0,1501.0
3,2018-01-10,1498.0,1519.0,1488.0,1507.0,45800.0,1507.0
4,2018-01-11,1501.0,1501.0,1445.0,1469.0,39500.0,1469.0
5,2018-01-12,1457.0,1496.0,1457.0,1483.0,30500.0,1483.0
6,2018-01-15,1484.0,1485.0,1455.0,1458.0,21700.0,1458.0
7,2018-01-16,1456.0,1456.0,1432.0,1436.0,19100.0,1436.0
8,2018-01-17,1431.0,1457.0,1423.0,1457.0,43300.0,1457.0
9,2018-01-18,1456.0,1478.0,1446.0,1447.0,27800.0,1447.0
10,2018-01-19,1447.0,1448.0,1421.0,1425.0,15100.0,1425.0
11,2018-01-22,1425.0,1426.0,1405.0,1410.0,35200.0,1410.0
12,2018-01-23,1412.0,1419.0,1407.0,1414.0,15200.0,1414.0
13,2018-01-24,1422.0,1428.0,1403.0,1408.0,23400.0,1408.0
14,2018-01-25,1420.0,1484.0,1418.0,1475.0,64400.0,1475.0
15,2018-01-26,1500.0,1604.0,1499.0,1565.0,121800.0,1565.0
16,2018-01-29,1562.0,1581.0,1507.0,1509.0,40700.0,1509.0
17,2018-01-30,1522.0,1531.0,1468.0,1486.0,50200.0,1486.0
18,2018-01-31,1494.0,1520.0,1483.0,1501.0,35300.0,1501.0
19,2018-02-01,1490.0,1490.0,1426.0,1442.0,57300.0,1442.0
20,2018-02-02,1438.0,1438.0,1369.0,1397.0,49700.0,1397.0
21,2018-02-05,1383.0,1383.0,1326.0,1344.0,55400.0,1344.0
22,2018-02-06,1284.0,1291.0,1229.0,1269.0,94900.0,1269.0
23,2018-02-07,1322.0,1323.0,1253.0,1254.0,69400.0,1254.0
24,2018-02-08,1254.0,1282.0,1253.0,1272.0,31700.0,1272.0
25,2018-02-09,1238.0,1263.0,1220.0,1258.0,36400.0,1258.0
26,2018-02-13,1287.0,1292.0,1220.0,1221.0,50600.0,1221.0
27,2018-02-14,1201.0,1259.0,1152.0,1245.0,109300.0,1245.0
28,2018-02-15,1215.0,1230.0,1168.0,1212.0,92400.0,1212.0
29,2018-02-16,1239.0,1369.0,1236.0,1310.0,134000.0,1310.0
30,2018-02-19,1319.0,1430.0,1314.0,1391.0,70800.0,1391.0
31,2018-02-20,1390.0,1412.0,1367.0,1403.0,28200.0,1403.0
32,2018-02-21,1397.0,1424.0,1382.0,1383.0,29300.0,1383.0
33,2018-02-22,1390.0,1390.0,1355.0,1366.0,21500.0,1366.0
34,2018-02-23,1386.0,1386.0,1328.0,1338.0,21300.0,1338.0
35,2018-02-26,1360.0,1369.0,1338.0,1363.0,24400.0,1363.0
36,2018-02-27,1400.0,1400.0,1351.0,1368.0,19200.0,1368.0
37,2018-02-28,1360.0,1376.0,1336.0,1340.0,24400.0,1340.0
38,2018-03-01,1349.0,1349.0,1303.0,1318.0,18300.0,1318.0
39,2018-03-02,1299.0,1333.0,1291.0,1331.0,13900.0,1331.0
40,2018-03-05,1330.0,1330.0,1270.0,1294.0,16100.0,1297.0
41,2018-03-06,1324.0,1344.0,1305.0,1330.0,12300.0,1330.0
42,2018-03-07,1343.0,1344.0,1312.0,1325.0,8900.0,1325.0
43,2018-03-08,1300.0,1328.0,1295.0,1305.0,18600.0,1305.0
44,2018-03-09,1315.0,1326.0,1295.0,1299.0,14900.0,1299.0
45,2018-03-12,1310.0,1316.0,1269.0,1295.0,16900.0,1295.0
46,2018-03-13,1297.0,1318.0,1280.0,1310.0,22000.0,1310.0
47,2018-03-14,1339.0,1339.0,1301.0,1311.0,23100.0,1311.0
48,2018-03-15,1322.0,1322.0,1287.0,1294.0,15700.0,1294.0
49,2018-03-16,1306.0,1306.0,1274.0,1282.0,18700.0,1282.0
50,2018-03-19,1272.0,1278.0,1242.0,1263.0,21200.0,1263.0
51,2018-03-20,1244.0,1254.0,1235.0,1244.0,17900.0,1244.0
52,2018-03-22,1255.0,1267.0,1239.0,1251.0,26800.0,1251.0
53,2018-03-23,1210.0,1224.0,1170.0,1202.0,64200.0,1202.0
54,2018-03-26,1250.0,1285.0,1222.0,1285.0,53000.0,1285.0
55,2018-03-27,1298.0,1325.0,1291.0,1322.0,24500.0,1322.0
56,2018-03-28,1327.0,1329.0,1297.0,1325.0,21900.0,1325.0
57,2018-03-29,1334.0,1347.0,1321.0,1346.0,20600.0,1346.0
58,2018-03-30,1351.0,1351.0,1325.0,1326.0,18400.0,1326.0
59,2018-04-02,1332.0,1385.0,1329.0,1376.0,20800.0,1376.0
60,2018-04-03,1360.0,1370.0,1327.0,1329.0,28500.0,1329.0
61,2018-04-04,1337.0,1368.0,1335.0,1348.0,25200.0,1348.0
62,2018-04-05,1355.0,1355.0,1328.0,1339.0,20300.0,1339.0
63,2018-04-06,1356.0,1356.0,1334.0,1339.0,10800.0,1339.0
64,2018-04-09,1348.0,1360.0,1340.0,1355.0,15700.0,1355.0
65,2018-04-10,1360.0,1423.0,1360.0,1415.0,53000.0,1415.0
66,2018-04-11,1425.0,1425.0,1358.0,1361.0,24700.0,1361.0
67,2018-04-12,1366.0,1387.0,1366.0,1376.0,8200.0,1376.0
68,2018-04-13,1379.0,1395.0,1379.0,1391.0,6100.0,1391.0
69,2018-04-16,1410.0,1416.0,1369.0,1378.0,16800.0,1378.0
70,2018-04-17,1392.0,1393.0,1339.0,1350.0,16600.0,1350.0
71,2018-04-18,1351.0,1371.0,1351.0,1366.0,6500.0,1366.0
72,2018-04-19,1366.0,1379.0,1356.0,1372.0,7400.0,1372.0
73,2018-04-20,1372.0,1396.0,1372.0,1391.0,5600.0,1391.0
74,2018-04-23,1362.0,1372.0,1347.0,1349.0,30700.0,1349.0
75,2018-04-24,1352.0,1366.0,1350.0,1365.0,12400.0,1365.0
76,2018-04-25,1365.0,1386.0,1365.0,1385.0,6700.0,1385.0
77,2018-04-26,1395.0,1420.0,1385.0,1417.0,19900.0,1417.0
78,2018-04-27,1363.0,1421.0,1363.0,1402.0,39000.0,1402.0
79,2018-05-01,1400.0,1436.0,1384.0,1435.0,19500.0,1435.0
80,2018-05-02,1450.0,1473.0,1428.0,1468.0,30000.0,1468.0
81,2018-05-07,1470.0,1497.0,1470.0,1490.0,28000.0,1490.0
82,2018-05-08,1504.0,1528.0,1497.0,1508.0,34200.0,1508.0
83,2018-05-09,1508.0,1508.0,1475.0,1485.0,25700.0,1485.0
84,2018-05-10,1471.0,1472.0,1430.0,1435.0,30600.0,1435.0
85,2018-05-11,1375.0,1386.0,1291.0,1305.0,133600.0,1305.0
86,2018-05-14,1327.0,1344.0,1315.0,1343.0,26700.0,1343.0
87,2018-05-15,1355.0,1373.0,1350.0,1362.0,18900.0,1362.0
88,2018-05-16,1362.0,1367.0,1336.0,1357.0,18700.0,1357.0
89,2018-05-17,1363.0,1363.0,1322.0,1339.0,25900.0,1339.0
