,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,927.0,954.0,927.0,945.0,25500.0,945.0
1,2018-01-05,945.0,951.0,938.0,940.0,8500.0,940.0
2,2018-01-09,947.0,950.0,938.0,940.0,16600.0,940.0
3,2018-01-10,937.0,954.0,932.0,946.0,12100.0,946.0
4,2018-01-11,940.0,963.0,913.0,944.0,31900.0,944.0
5,2018-01-12,937.0,942.0,934.0,936.0,9700.0,936.0
6,2018-01-15,936.0,971.0,936.0,971.0,74600.0,971.0
7,2018-01-16,970.0,970.0,952.0,967.0,24800.0,967.0
8,2018-01-17,961.0,964.0,932.0,938.0,22300.0,938.0
9,2018-01-18,939.0,943.0,931.0,935.0,6800.0,935.0
10,2018-01-19,930.0,932.0,927.0,928.0,7700.0,928.0
11,2018-01-22,934.0,940.0,929.0,937.0,13600.0,937.0
12,2018-01-23,946.0,963.0,945.0,963.0,19100.0,963.0
13,2018-01-24,962.0,972.0,960.0,970.0,16300.0,970.0
14,2018-01-25,972.0,973.0,959.0,968.0,12700.0,968.0
15,2018-01-26,961.0,977.0,961.0,977.0,15600.0,977.0
16,2018-01-29,977.0,979.0,969.0,971.0,17700.0,971.0
17,2018-01-30,970.0,1018.0,970.0,1008.0,74600.0,1008.0
18,2018-01-31,1001.0,1008.0,991.0,999.0,20100.0,999.0
19,2018-02-01,1001.0,1003.0,991.0,1000.0,21200.0,1000.0
20,2018-02-02,1000.0,1004.0,990.0,992.0,13900.0,992.0
21,2018-02-05,976.0,985.0,962.0,969.0,27400.0,969.0
22,2018-02-06,894.0,907.0,865.0,879.0,68900.0,879.0
23,2018-02-07,917.0,921.0,891.0,891.0,24700.0,891.0
24,2018-02-08,906.0,914.0,897.0,907.0,7600.0,907.0
25,2018-02-09,866.0,889.0,866.0,889.0,15900.0,889.0
26,2018-02-13,909.0,930.0,903.0,926.0,21400.0,926.0
27,2018-02-14,925.0,925.0,895.0,915.0,27700.0,915.0
28,2018-02-15,915.0,915.0,875.0,883.0,30100.0,883.0
