,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,1380.0,1386.0,1374.0,1374.0,10700.0,1374.0
1,2018-01-05,1383.0,1404.0,1380.0,1402.0,22400.0,1402.0
2,2018-01-09,1423.0,1436.0,1370.0,1379.0,33100.0,1379.0
3,2018-01-10,1379.0,1429.0,1357.0,1401.0,25300.0,1401.0
4,2018-01-11,1315.0,1356.0,1294.0,1306.0,92300.0,1306.0
5,2018-01-12,1288.0,1297.0,1273.0,1282.0,50900.0,1282.0
6,2018-01-15,1296.0,1306.0,1280.0,1285.0,15700.0,1285.0
7,2018-01-16,1296.0,1296.0,1285.0,1288.0,16300.0,1288.0
8,2018-01-17,1285.0,1285.0,1261.0,1268.0,21200.0,1268.0
9,2018-01-18,1263.0,1269.0,1246.0,1253.0,21500.0,1253.0
10,2018-01-19,1253.0,1290.0,1253.0,1288.0,16000.0,1288.0
11,2018-01-22,1288.0,1294.0,1265.0,1289.0,31000.0,1289.0
12,2018-01-23,1294.0,1309.0,1283.0,1288.0,16800.0,1288.0
13,2018-01-24,1286.0,1293.0,1277.0,1283.0,8400.0,1283.0
14,2018-01-25,1279.0,1281.0,1267.0,1279.0,10700.0,1279.0
15,2018-01-26,1279.0,1284.0,1268.0,1271.0,9400.0,1271.0
16,2018-01-29,1272.0,1286.0,1266.0,1269.0,8800.0,1269.0
17,2018-01-30,1275.0,1275.0,1267.0,1271.0,16000.0,1271.0
18,2018-01-31,1266.0,1272.0,1255.0,1269.0,10900.0,1269.0
19,2018-02-01,1272.0,1294.0,1268.0,1289.0,12900.0,1289.0
20,2018-02-02,1294.0,1303.0,1285.0,1292.0,20900.0,1292.0
21,2018-02-05,1267.0,1272.0,1247.0,1265.0,20600.0,1265.0
22,2018-02-06,1210.0,1315.0,1195.0,1302.0,48800.0,1302.0
23,2018-02-07,1290.0,1292.0,1226.0,1244.0,26000.0,1244.0
24,2018-02-08,1277.0,1277.0,1249.0,1251.0,18300.0,1251.0
25,2018-02-09,1221.0,1221.0,1177.0,1192.0,30900.0,1192.0
26,2018-02-13,1192.0,1237.0,1188.0,1192.0,18000.0,1192.0
27,2018-02-14,1174.0,1211.0,1174.0,1198.0,10400.0,1198.0
28,2018-02-15,1228.0,1234.0,1200.0,1210.0,10800.0,1210.0
29,2018-02-16,1224.0,1233.0,1212.0,1217.0,6400.0,1217.0
30,2018-02-19,1236.0,1241.0,1221.0,1241.0,7300.0,1241.0
31,2018-02-20,1251.0,1251.0,1227.0,1247.0,7700.0,1247.0
32,2018-02-21,1247.0,1256.0,1219.0,1222.0,8100.0,1222.0
33,2018-02-22,1217.0,1217.0,1175.0,1185.0,11500.0,1185.0
34,2018-02-23,1185.0,1195.0,1152.0,1167.0,17400.0,1167.0
35,2018-02-26,1176.0,1189.0,1155.0,1156.0,29700.0,1156.0
36,2018-02-27,1161.0,1164.0,1153.0,1158.0,11700.0,1158.0
37,2018-02-28,1141.0,1149.0,1133.0,1140.0,21200.0,1140.0
38,2018-03-01,1151.0,1151.0,1133.0,1134.0,19400.0,1134.0
39,2018-03-02,1129.0,1144.0,1116.0,1133.0,16500.0,1133.0
40,2018-03-05,1133.0,1142.0,1105.0,1111.0,12900.0,1112.0
41,2018-03-06,1122.0,1130.0,1087.0,1092.0,23600.0,1092.0
42,2018-03-07,1103.0,1103.0,1062.0,1068.0,14000.0,1068.0
43,2018-03-08,1073.0,1092.0,1058.0,1080.0,10300.0,1080.0
44,2018-03-09,1086.0,1088.0,1026.0,1045.0,28700.0,1045.0
45,2018-03-12,1087.0,1087.0,1032.0,1038.0,23800.0,1038.0
46,2018-03-13,1040.0,1068.0,1038.0,1067.0,14600.0,1067.0
47,2018-03-14,1059.0,1074.0,1030.0,1068.0,30200.0,1068.0
48,2018-03-15,1068.0,1068.0,1029.0,1033.0,22100.0,1033.0
49,2018-03-16,1045.0,1076.0,1036.0,1066.0,15000.0,1066.0
50,2018-03-19,1066.0,1082.0,1052.0,1079.0,14700.0,1079.0
51,2018-03-20,1080.0,1080.0,1039.0,1045.0,12000.0,1045.0
52,2018-03-22,1075.0,1075.0,1029.0,1036.0,23500.0,1036.0
53,2018-03-23,1001.0,1027.0,992.0,1021.0,34600.0,1021.0
54,2018-03-26,1005.0,1019.0,986.0,1019.0,19300.0,1019.0
55,2018-03-27,1020.0,1054.0,1020.0,1054.0,15800.0,1054.0
56,2018-03-28,1053.0,1075.0,1045.0,1075.0,13300.0,1075.0
57,2018-03-29,1074.0,1085.0,1049.0,1057.0,16800.0,1057.0
58,2018-03-30,1075.0,1110.0,1065.0,1087.0,27400.0,1087.0
59,2018-04-02,1095.0,1116.0,1088.0,1089.0,13900.0,1089.0
60,2018-04-03,1089.0,1111.0,1076.0,1092.0,13800.0,1092.0
61,2018-04-04,1112.0,1119.0,1091.0,1094.0,11500.0,1094.0
62,2018-04-05,1105.0,1117.0,1091.0,1097.0,12100.0,1097.0
63,2018-04-06,1097.0,1107.0,1087.0,1087.0,6900.0,1087.0
64,2018-04-09,1080.0,1127.0,1080.0,1102.0,16100.0,1102.0
65,2018-04-10,1090.0,1120.0,1090.0,1096.0,14400.0,1096.0
66,2018-04-11,1396.0,1396.0,1271.0,1301.0,798800.0,1301.0
67,2018-04-12,1282.0,1343.0,1240.0,1318.0,292600.0,1318.0
68,2018-04-13,1311.0,1331.0,1282.0,1317.0,73500.0,1317.0
69,2018-04-16,1340.0,1344.0,1275.0,1317.0,94500.0,1317.0
70,2018-04-17,1305.0,1319.0,1254.0,1308.0,123100.0,1308.0
71,2018-04-18,1285.0,1356.0,1285.0,1319.0,78300.0,1319.0
72,2018-04-19,1349.0,1415.0,1347.0,1399.0,157600.0,1399.0
73,2018-04-20,1380.0,1500.0,1380.0,1491.0,168800.0,1491.0
74,2018-04-23,1510.0,1520.0,1457.0,1495.0,85300.0,1495.0
75,2018-04-24,1510.0,1510.0,1422.0,1436.0,59100.0,1436.0
76,2018-04-25,1410.0,1459.0,1410.0,1422.0,63900.0,1422.0
77,2018-04-26,1417.0,1423.0,1374.0,1408.0,69100.0,1408.0
78,2018-04-27,1388.0,1413.0,1370.0,1382.0,40600.0,1382.0
79,2018-05-01,1387.0,1387.0,1330.0,1352.0,70200.0,1352.0
80,2018-05-02,1368.0,1416.0,1340.0,1400.0,51000.0,1400.0
81,2018-05-07,1388.0,1437.0,1388.0,1430.0,34600.0,1430.0
82,2018-05-08,1420.0,1456.0,1410.0,1447.0,30200.0,1447.0
83,2018-05-09,1431.0,1461.0,1420.0,1441.0,38200.0,1441.0
84,2018-05-10,1441.0,1465.0,1404.0,1418.0,27200.0,1418.0
85,2018-05-11,1408.0,1409.0,1349.0,1356.0,88600.0,1356.0
86,2018-05-14,1356.0,1387.0,1338.0,1373.0,35300.0,1373.0
87,2018-05-15,1385.0,1428.0,1354.0,1418.0,49900.0,1418.0
88,2018-05-16,1413.0,1447.0,1398.0,1417.0,30800.0,1417.0
89,2018-05-17,1422.0,1475.0,1380.0,1393.0,53000.0,1393.0
90,2018-05-18,1393.0,1400.0,1300.0,1333.0,120500.0,1333.0
91,2018-05-21,1333.0,1335.0,1309.0,1312.0,30000.0,1312.0
92,2018-05-22,1327.0,1334.0,1308.0,1315.0,28100.0,1315.0
93,2018-05-23,1340.0,1383.0,1317.0,1336.0,76600.0,1336.0
94,2018-05-24,1350.0,1377.0,1346.0,1351.0,25700.0,1351.0
95,2018-05-25,1345.0,1348.0,1296.0,1298.0,48300.0,1298.0
96,2018-05-28,1304.0,1310.0,1244.0,1266.0,60700.0,1266.0
97,2018-05-29,1266.0,1278.0,1236.0,1263.0,24600.0,1263.0
98,2018-05-30,1263.0,1328.0,1250.0,1310.0,53700.0,1310.0
99,2018-05-31,1300.0,1328.0,1290.0,1294.0,22600.0,1294.0
100,2018-06-01,1294.0,1307.0,1274.0,1297.0,31000.0,1297.0
101,2018-06-04,1298.0,1324.0,1288.0,1294.0,14400.0,1294.0
102,2018-06-05,1287.0,1287.0,1244.0,1279.0,33300.0,1279.0
103,2018-06-06,1264.0,1267.0,1239.0,1247.0,26000.0,1247.0
104,2018-06-07,1250.0,1272.0,1240.0,1270.0,28100.0,1270.0
105,2018-06-08,1261.0,1281.0,1261.0,1280.0,15600.0,1280.0
106,2018-06-11,1278.0,1285.0,1240.0,1241.0,26100.0,1241.0
107,2018-06-12,1261.0,1319.0,1248.0,1311.0,23600.0,1311.0
108,2018-06-13,1312.0,1346.0,1302.0,1314.0,42400.0,1314.0
109,2018-06-14,1311.0,1366.0,1250.0,1342.0,71200.0,1342.0
110,2018-06-15,1358.0,1362.0,1281.0,1300.0,33700.0,1300.0
111,2018-06-18,1302.0,1305.0,1262.0,1280.0,30200.0,1280.0
112,2018-06-19,1280.0,1300.0,1243.0,1263.0,37900.0,1263.0
113,2018-06-20,1263.0,1337.0,1259.0,1337.0,18000.0,1337.0
114,2018-06-21,1336.0,1359.0,1280.0,1285.0,36900.0,1285.0
115,2018-06-22,1278.0,1291.0,1264.0,1289.0,17200.0,1289.0
116,2018-06-25,1285.0,1295.0,1248.0,1252.0,18500.0,1252.0
117,2018-06-26,1247.0,1280.0,1244.0,1272.0,18500.0,1272.0
118,2018-06-27,1255.0,1287.0,1254.0,1266.0,26200.0,1266.0
119,2018-06-28,1247.0,1256.0,1207.0,1255.0,37200.0,1255.0
120,2018-06-29,1255.0,1308.0,1235.0,1284.0,20300.0,1284.0
