,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,1989.0,2000.0,1984.0,1993.0,5000.0,1993.0
1,2018-01-05,1996.0,1999.0,1988.0,1992.0,3200.0,1992.0
2,2018-01-09,1990.0,2020.0,1990.0,2010.0,5200.0,2010.0
3,2018-01-10,2011.0,2020.0,2008.0,2019.0,3100.0,2019.0
4,2018-01-11,2019.0,2019.0,1950.0,2017.0,8700.0,2017.0
5,2018-01-12,2017.0,2020.0,2011.0,2020.0,2800.0,2020.0
6,2018-01-15,2020.0,2020.0,2015.0,2019.0,2700.0,2019.0
7,2018-01-16,2015.0,2020.0,2012.0,2012.0,2600.0,2012.0
8,2018-01-17,2015.0,2015.0,2005.0,2007.0,2900.0,2007.0
9,2018-01-18,2023.0,2025.0,2010.0,2010.0,2700.0,2010.0
10,2018-01-19,2019.0,2020.0,2005.0,2018.0,1400.0,2018.0
11,2018-01-22,2021.0,2021.0,2007.0,2010.0,1000.0,2010.0
12,2018-01-23,2009.0,2040.0,2009.0,2040.0,3100.0,2040.0
13,2018-01-24,2030.0,2046.0,2030.0,2042.0,3400.0,2042.0
14,2018-01-25,2034.0,2042.0,2030.0,2030.0,1800.0,2030.0
15,2018-01-26,2040.0,2044.0,2030.0,2044.0,1900.0,2044.0
16,2018-01-29,2045.0,2052.0,2040.0,2045.0,3100.0,2045.0
17,2018-01-30,2055.0,2055.0,2019.0,2030.0,2600.0,2030.0
18,2018-01-31,2008.0,2008.0,2000.0,2006.0,4300.0,2006.0
19,2018-02-01,2008.0,2015.0,2006.0,2006.0,2200.0,2006.0
20,2018-02-02,2019.0,2020.0,2000.0,2000.0,8300.0,2000.0
21,2018-02-05,1995.0,2000.0,1994.0,1997.0,3000.0,1997.0
22,2018-02-06,1901.0,1939.0,1880.0,1938.0,13700.0,1938.0
23,2018-02-07,1949.0,1974.0,1944.0,1944.0,5500.0,1944.0
24,2018-02-08,1966.0,1983.0,1951.0,1951.0,1900.0,1951.0
25,2018-02-09,1803.0,1936.0,1803.0,1927.0,6900.0,1927.0
26,2018-02-13,1934.0,1935.0,1900.0,1905.0,2900.0,1905.0
27,2018-02-14,1894.0,1898.0,1804.0,1810.0,8400.0,1810.0
28,2018-02-15,1830.0,1839.0,1814.0,1814.0,7100.0,1814.0
29,2018-02-16,1816.0,1848.0,1816.0,1820.0,5300.0,1820.0
30,2018-02-19,1825.0,1885.0,1825.0,1885.0,3300.0,1885.0
31,2018-02-20,1902.0,1925.0,1881.0,1900.0,1700.0,1900.0
32,2018-02-21,1900.0,1910.0,1885.0,1902.0,1600.0,1902.0
33,2018-02-22,1902.0,1905.0,1901.0,1901.0,1900.0,1901.0
34,2018-02-23,1915.0,1918.0,1903.0,1918.0,1700.0,1918.0
35,2018-02-26,1921.0,1944.0,1921.0,1926.0,2900.0,1926.0
36,2018-02-27,1960.0,1960.0,1902.0,1902.0,2500.0,1902.0
37,2018-02-28,1933.0,1946.0,1933.0,1946.0,1100.0,1946.0
38,2018-03-01,1912.0,1929.0,1902.0,1920.0,2100.0,1920.0
39,2018-03-02,1901.0,1901.0,1885.0,1895.0,3300.0,1895.0
40,2018-03-05,1888.0,1888.0,1886.0,1886.0,1600.0,1886.0
41,2018-03-06,1914.0,1914.0,1882.0,1883.0,1900.0,1883.0
42,2018-03-07,1897.0,1897.0,1890.0,1890.0,400.0,1890.0
43,2018-03-08,1890.0,1896.0,1871.0,1871.0,2000.0,1871.0
44,2018-03-09,1871.0,1895.0,1871.0,1884.0,1900.0,1884.0
45,2018-03-12,1939.0,1939.0,1891.0,1904.0,1700.0,1904.0
46,2018-03-13,1926.0,1937.0,1915.0,1915.0,1100.0,1915.0
47,2018-03-14,1917.0,1925.0,1902.0,1920.0,1500.0,1920.0
48,2018-03-15,1904.0,1928.0,1904.0,1905.0,1000.0,1905.0
49,2018-03-16,1906.0,1932.0,1906.0,1906.0,1600.0,1906.0
50,2018-03-19,1910.0,1935.0,1910.0,1935.0,2400.0,1935.0
51,2018-03-20,1905.0,1936.0,1903.0,1936.0,1400.0,1936.0
52,2018-03-22,1936.0,1936.0,1917.0,1917.0,2100.0,1917.0
53,2018-03-23,1908.0,1912.0,1890.0,1890.0,3500.0,1890.0
54,2018-03-26,1881.0,1889.0,1871.0,1889.0,3100.0,1889.0
55,2018-03-27,1899.0,1899.0,1887.0,1890.0,1900.0,1890.0
56,2018-03-28,1924.0,1924.0,1900.0,1900.0,2900.0,1900.0
57,2018-03-29,1905.0,1935.0,1903.0,1935.0,5700.0,1935.0
58,2018-03-30,1935.0,1955.0,1926.0,1955.0,3200.0,1955.0
59,2018-04-02,1955.0,1955.0,1946.0,1955.0,2600.0,1955.0
60,2018-04-03,1954.0,1954.0,1935.0,1954.0,3800.0,1954.0
61,2018-04-04,1959.0,1980.0,1957.0,1980.0,3900.0,1980.0
62,2018-04-05,1990.0,2019.0,1990.0,2019.0,9400.0,2019.0
63,2018-04-06,2019.0,2035.0,2003.0,2004.0,4800.0,2004.0
64,2018-04-09,2020.0,2039.0,2020.0,2030.0,3700.0,2030.0
