,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,725.0,735.0,725.0,727.0,55300.0,727.0
1,2018-01-05,723.0,732.0,720.0,730.0,94400.0,730.0
2,2018-01-09,740.0,742.0,728.0,732.0,75900.0,732.0
3,2018-01-10,731.0,736.0,726.0,734.0,83700.0,734.0
4,2018-01-11,731.0,734.0,728.0,730.0,69600.0,730.0
5,2018-01-12,727.0,734.0,727.0,731.0,69600.0,731.0
6,2018-01-15,725.0,729.0,718.0,719.0,114800.0,719.0
7,2018-01-16,716.0,718.0,692.0,706.0,151200.0,706.0
8,2018-01-17,706.0,706.0,690.0,695.0,115200.0,695.0
9,2018-01-18,699.0,702.0,692.0,694.0,56500.0,694.0
10,2018-01-19,690.0,694.0,682.0,684.0,97700.0,684.0
11,2018-01-22,689.0,691.0,680.0,687.0,48300.0,687.0
12,2018-01-23,690.0,700.0,689.0,696.0,58300.0,696.0
13,2018-01-24,697.0,699.0,690.0,694.0,58300.0,694.0
14,2018-01-25,684.0,691.0,684.0,685.0,59000.0,685.0
15,2018-01-26,685.0,693.0,681.0,682.0,87000.0,682.0
16,2018-01-29,690.0,690.0,676.0,679.0,53300.0,679.0
17,2018-01-30,683.0,683.0,675.0,680.0,65900.0,680.0
18,2018-01-31,679.0,685.0,676.0,678.0,67400.0,678.0
19,2018-02-01,679.0,685.0,678.0,685.0,40900.0,685.0
20,2018-02-02,685.0,685.0,674.0,678.0,61100.0,678.0
21,2018-02-05,670.0,670.0,655.0,662.0,74600.0,662.0
22,2018-02-06,632.0,632.0,565.0,603.0,188900.0,603.0
23,2018-02-07,620.0,641.0,596.0,596.0,82500.0,596.0
24,2018-02-08,597.0,608.0,595.0,602.0,72700.0,602.0
25,2018-02-09,580.0,588.0,570.0,583.0,70300.0,583.0
26,2018-02-13,583.0,590.0,570.0,576.0,63100.0,576.0
27,2018-02-14,566.0,574.0,520.0,526.0,182800.0,526.0
28,2018-02-15,535.0,557.0,516.0,556.0,95900.0,556.0
29,2018-02-16,555.0,593.0,553.0,556.0,141200.0,556.0
30,2018-02-19,566.0,604.0,561.0,602.0,79500.0,602.0
31,2018-02-20,607.0,608.0,596.0,607.0,53200.0,607.0
32,2018-02-21,601.0,615.0,597.0,612.0,70100.0,612.0
33,2018-02-22,620.0,712.0,617.0,712.0,326000.0,712.0
34,2018-02-23,757.0,805.0,719.0,733.0,1802500.0,733.0
35,2018-02-26,735.0,740.0,701.0,712.0,219100.0,712.0
36,2018-02-27,712.0,716.0,682.0,690.0,165000.0,690.0
37,2018-02-28,689.0,696.0,680.0,681.0,51400.0,681.0
38,2018-03-01,671.0,671.0,650.0,660.0,105800.0,660.0
39,2018-03-02,651.0,655.0,641.0,648.0,62500.0,648.0
40,2018-03-05,647.0,648.0,615.0,616.0,62500.0,616.0
41,2018-03-06,626.0,636.0,612.0,612.0,74000.0,612.0
42,2018-03-07,610.0,620.0,603.0,605.0,46600.0,605.0
43,2018-03-08,608.0,611.0,604.0,607.0,46900.0,607.0
44,2018-03-09,617.0,623.0,585.0,588.0,169200.0,588.0
