,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,1800.0,1858.0,1778.0,1852.0,165400.0,926.0
1,2018-01-05,1869.0,1994.0,1837.0,1949.0,293500.0,974.5
2,2018-01-09,2008.0,2013.0,1928.0,1970.0,179600.0,985.0
3,2018-01-10,2000.0,2092.0,1977.0,2085.0,198400.0,1042.5
4,2018-01-11,2071.0,2076.0,2008.0,2020.0,161700.0,1010.0
5,2018-01-12,2021.0,2120.0,1992.0,2029.0,166800.0,1014.5
6,2018-01-15,2003.0,2032.0,1925.0,2002.0,182800.0,1001.0
7,2018-01-16,1990.0,2013.0,1928.0,1928.0,125800.0,964.0
8,2018-01-17,1901.0,1911.0,1848.0,1850.0,150100.0,925.0
9,2018-01-18,1861.0,1889.0,1840.0,1840.0,75900.0,920.0
10,2018-01-19,1840.0,1920.0,1840.0,1910.0,74500.0,955.0
11,2018-01-22,1905.0,1932.0,1882.0,1920.0,57000.0,960.0
12,2018-01-23,1945.0,1993.0,1906.0,1993.0,91400.0,996.5
13,2018-01-24,1987.0,2005.0,1947.0,1965.0,67000.0,982.5
14,2018-01-25,1960.0,2005.0,1940.0,1969.0,45400.0,984.5
15,2018-01-26,1994.0,2062.0,1981.0,2031.0,84100.0,1015.5
16,2018-01-29,2060.0,2060.0,1957.0,1969.0,63800.0,984.5
17,2018-01-30,2035.0,2164.0,2011.0,2106.0,267800.0,1053.0
18,2018-01-31,2066.0,2179.0,2043.0,2175.0,143300.0,1087.5
19,2018-02-01,2175.0,2250.0,2128.0,2130.0,127600.0,1065.0
20,2018-02-02,2130.0,2228.0,2047.0,2217.0,124900.0,1108.5
21,2018-02-05,2146.0,2224.0,2092.0,2185.0,143000.0,1092.5
22,2018-02-06,1919.0,1976.0,1685.0,1800.0,628400.0,900.0
23,2018-02-07,1900.0,1923.0,1694.0,1711.0,351000.0,855.5
24,2018-02-08,1724.0,1817.0,1724.0,1777.0,137200.0,888.5
25,2018-02-09,1577.0,1765.0,1577.0,1740.0,401900.0,870.0
26,2018-02-13,1741.0,1744.0,1462.0,1487.0,535800.0,743.5
27,2018-02-14,1486.0,1548.0,1431.0,1476.0,265400.0,738.0
28,2018-02-15,1546.0,1616.0,1515.0,1590.0,175000.0,795.0
29,2018-02-16,1650.0,1738.0,1612.0,1705.0,180000.0,852.5
30,2018-02-19,1733.0,1856.0,1733.0,1837.0,196900.0,918.5
31,2018-02-20,1957.0,2013.0,1887.0,2003.0,663200.0,1001.5
32,2018-02-21,1998.0,2090.0,1950.0,2061.0,230200.0,1030.5
33,2018-02-22,2027.0,2112.0,2013.0,2100.0,132400.0,1050.0
34,2018-02-23,2110.0,2181.0,2037.0,2167.0,169800.0,1083.5
35,2018-02-26,2170.0,2179.0,2126.0,2131.0,100900.0,1065.5
36,2018-02-27,2100.0,2100.0,1938.0,1982.0,363100.0,991.0
37,2018-02-28,1938.0,2007.0,1897.0,1977.0,168300.0,988.5
38,2018-03-01,1955.0,1968.0,1900.0,1945.0,98300.0,972.5
39,2018-03-02,1865.0,1879.0,1832.0,1855.0,168700.0,927.5
40,2018-03-05,1832.0,1851.0,1690.0,1699.0,244100.0,853.0
41,2018-03-06,1750.0,1860.0,1750.0,1810.0,108700.0,905.0
42,2018-03-07,1790.0,1898.0,1790.0,1847.0,140500.0,923.5
43,2018-03-08,1875.0,1942.0,1859.0,1909.0,122500.0,954.5
44,2018-03-09,1000.0,1034.0,955.0,971.0,443500.0,971.0
45,2018-03-12,981.0,1005.0,965.0,995.0,271100.0,995.0
46,2018-03-13,995.0,1007.0,938.0,940.0,341200.0,940.0
47,2018-03-14,930.0,953.0,893.0,918.0,320800.0,918.0
48,2018-03-15,915.0,918.0,874.0,875.0,445300.0,875.0
49,2018-03-16,870.0,893.0,858.0,873.0,246500.0,873.0
50,2018-03-19,870.0,871.0,816.0,832.0,245200.0,832.0
51,2018-03-20,804.0,836.0,784.0,824.0,328300.0,824.0
52,2018-03-22,818.0,830.0,777.0,793.0,338200.0,793.0
53,2018-03-23,763.0,770.0,747.0,749.0,346700.0,749.0
54,2018-03-26,742.0,815.0,724.0,796.0,424800.0,796.0
55,2018-03-27,826.0,839.0,794.0,838.0,285300.0,838.0
56,2018-03-28,812.0,846.0,806.0,818.0,165900.0,818.0
57,2018-03-29,838.0,850.0,814.0,829.0,115900.0,829.0
58,2018-03-30,840.0,848.0,808.0,821.0,137800.0,821.0
59,2018-04-02,806.0,809.0,770.0,781.0,302400.0,781.0
60,2018-04-03,766.0,798.0,760.0,790.0,227800.0,790.0
61,2018-04-04,810.0,817.0,791.0,799.0,133300.0,799.0
62,2018-04-05,808.0,819.0,793.0,803.0,129100.0,803.0
63,2018-04-06,810.0,824.0,775.0,775.0,175400.0,775.0
64,2018-04-09,784.0,805.0,777.0,795.0,108900.0,795.0
65,2018-04-10,793.0,797.0,770.0,770.0,177300.0,770.0
66,2018-04-11,771.0,782.0,751.0,751.0,128600.0,751.0
67,2018-04-12,743.0,765.0,743.0,751.0,130200.0,751.0
68,2018-04-13,753.0,760.0,745.0,745.0,125900.0,745.0
69,2018-04-16,746.0,754.0,716.0,716.0,235500.0,716.0
70,2018-04-17,716.0,730.0,676.0,683.0,375900.0,683.0
71,2018-04-18,687.0,710.0,687.0,706.0,186300.0,706.0
72,2018-04-19,720.0,729.0,699.0,707.0,115700.0,707.0
73,2018-04-20,703.0,738.0,703.0,733.0,124500.0,733.0
74,2018-04-23,747.0,748.0,720.0,738.0,151200.0,738.0
75,2018-04-24,759.0,776.0,746.0,771.0,204900.0,771.0
76,2018-04-25,760.0,818.0,760.0,797.0,362900.0,797.0
77,2018-04-26,806.0,808.0,780.0,801.0,161300.0,801.0
78,2018-04-27,815.0,855.0,811.0,835.0,638200.0,835.0
79,2018-05-01,820.0,830.0,773.0,781.0,288200.0,781.0
80,2018-05-02,641.0,700.0,636.0,663.0,3269000.0,663.0
81,2018-05-07,663.0,677.0,643.0,651.0,692300.0,651.0
82,2018-05-08,648.0,697.0,648.0,683.0,593300.0,683.0
83,2018-05-09,673.0,689.0,665.0,672.0,268300.0,672.0
84,2018-05-10,690.0,707.0,678.0,702.0,412600.0,702.0
85,2018-05-11,750.0,756.0,718.0,734.0,734100.0,734.0
86,2018-05-14,726.0,730.0,693.0,701.0,329700.0,701.0
87,2018-05-15,701.0,705.0,662.0,662.0,593300.0,662.0
88,2018-05-16,667.0,696.0,667.0,685.0,225400.0,685.0
89,2018-05-17,692.0,712.0,685.0,706.0,353400.0,706.0
90,2018-05-18,715.0,726.0,699.0,705.0,342600.0,705.0
91,2018-05-21,724.0,735.0,710.0,733.0,383000.0,733.0
92,2018-05-22,763.0,777.0,734.0,738.0,1121200.0,738.0
93,2018-05-23,735.0,752.0,710.0,725.0,412000.0,725.0
94,2018-05-24,727.0,737.0,717.0,722.0,168200.0,722.0
95,2018-05-25,715.0,723.0,703.0,705.0,215300.0,705.0
96,2018-05-28,717.0,719.0,703.0,703.0,176100.0,703.0
97,2018-05-29,706.0,710.0,682.0,689.0,295700.0,689.0
98,2018-05-30,675.0,690.0,672.0,683.0,164900.0,683.0
99,2018-05-31,692.0,710.0,685.0,705.0,171100.0,705.0
100,2018-06-01,696.0,707.0,686.0,688.0,181900.0,688.0
101,2018-06-04,697.0,705.0,688.0,691.0,76700.0,691.0
102,2018-06-05,692.0,727.0,670.0,716.0,474100.0,716.0
103,2018-06-06,720.0,725.0,702.0,707.0,282200.0,707.0
104,2018-06-07,710.0,724.0,708.0,715.0,149700.0,715.0
105,2018-06-08,715.0,719.0,704.0,713.0,119900.0,713.0
106,2018-06-11,719.0,742.0,717.0,735.0,334900.0,735.0
107,2018-06-12,743.0,744.0,730.0,741.0,185700.0,741.0
108,2018-06-13,741.0,758.0,741.0,755.0,277800.0,755.0
109,2018-06-14,756.0,768.0,748.0,753.0,292500.0,753.0
110,2018-06-15,742.0,744.0,706.0,707.0,573500.0,707.0
111,2018-06-18,704.0,711.0,684.0,711.0,263400.0,711.0
112,2018-06-19,704.0,714.0,685.0,695.0,202500.0,695.0
113,2018-06-20,705.0,723.0,698.0,722.0,237400.0,722.0
114,2018-06-21,727.0,736.0,716.0,716.0,146100.0,716.0
