,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-04-26,14830.0,15800.0,14020.0,15100.0,300900.0,7550.0
1,2018-04-27,13380.0,13750.0,11210.0,11260.0,159500.0,5630.0
2,2018-05-01,10660.0,11550.0,10310.0,11470.0,102100.0,5735.0
3,2018-05-02,11290.0,11940.0,10580.0,11880.0,55900.0,5940.0
4,2018-05-07,12180.0,12740.0,11690.0,11730.0,64700.0,5865.0
5,2018-05-08,11650.0,12100.0,11110.0,11970.0,28400.0,5985.0
6,2018-05-09,11700.0,13010.0,11360.0,13010.0,29500.0,6505.0
7,2018-05-10,12710.0,13180.0,11800.0,12200.0,29400.0,6100.0
8,2018-05-11,11780.0,12200.0,11310.0,11850.0,25300.0,5925.0
9,2018-05-14,12080.0,12080.0,11300.0,11370.0,16400.0,5685.0
10,2018-05-15,11370.0,11480.0,10660.0,10660.0,17900.0,5330.0
11,2018-05-16,10600.0,11290.0,10600.0,11290.0,13100.0,5645.0
12,2018-05-17,11300.0,11450.0,11010.0,11220.0,9900.0,5610.0
13,2018-05-18,11150.0,11160.0,10220.0,10380.0,19900.0,5190.0
14,2018-05-21,10390.0,10520.0,9690.0,10000.0,37900.0,5000.0
15,2018-05-22,10110.0,10360.0,9500.0,9670.0,26400.0,4835.0
16,2018-05-23,9570.0,9690.0,9380.0,9500.0,15600.0,4750.0
17,2018-05-24,9550.0,9780.0,9500.0,9740.0,9800.0,4870.0
18,2018-05-25,9610.0,10680.0,9610.0,10620.0,29800.0,5310.0
19,2018-05-28,10480.0,10800.0,10350.0,10500.0,13100.0,5250.0
20,2018-05-29,10510.0,11300.0,10310.0,10940.0,27900.0,5470.0
21,2018-05-30,10640.0,11250.0,10540.0,11240.0,13900.0,5620.0
22,2018-05-31,11660.0,11700.0,11380.0,11380.0,16800.0,5690.0
23,2018-06-01,11350.0,11590.0,11160.0,11550.0,5600.0,5775.0
24,2018-06-04,11690.0,11690.0,10600.0,11140.0,8600.0,5570.0
25,2018-06-05,10910.0,11300.0,10350.0,10350.0,7200.0,5175.0
26,2018-06-06,10350.0,10800.0,10350.0,10780.0,2200.0,5390.0
27,2018-06-07,10480.0,10970.0,10390.0,10560.0,3900.0,5280.0
28,2018-06-08,10780.0,11280.0,10780.0,11150.0,6800.0,5575.0
29,2018-06-11,11400.0,12380.0,11400.0,12000.0,24800.0,6000.0
30,2018-06-12,12000.0,12530.0,11550.0,12530.0,22800.0,6265.0
31,2018-06-13,12000.0,12340.0,11550.0,11800.0,28500.0,5900.0
32,2018-06-14,11740.0,12110.0,11740.0,11760.0,6800.0,5880.0
33,2018-06-15,11760.0,11950.0,11400.0,11470.0,9000.0,5735.0
34,2018-06-18,11500.0,11770.0,11200.0,11330.0,3100.0,5665.0
35,2018-06-19,11230.0,11500.0,10700.0,10900.0,11000.0,5450.0
36,2018-06-20,10950.0,11000.0,10600.0,10900.0,2400.0,5450.0
37,2018-06-21,11030.0,11030.0,10500.0,10680.0,5200.0,5340.0
38,2018-06-22,10380.0,10500.0,10200.0,10220.0,2800.0,5110.0
39,2018-06-25,10010.0,10350.0,9680.0,9750.0,6400.0,4875.0
40,2018-06-26,9900.0,11000.0,9800.0,10940.0,9700.0,5470.0
41,2018-06-27,10900.0,10900.0,10000.0,10810.0,13000.0,5405.0
42,2018-06-28,10510.0,10510.0,10000.0,10100.0,7600.0,5050.0
43,2018-06-29,9950.0,10310.0,9900.0,10090.0,5600.0,5045.0
44,2018-07-02,10390.0,10390.0,10000.0,10000.0,4100.0,5000.0
45,2018-07-03,10020.0,10070.0,9920.0,10070.0,2500.0,5035.0
46,2018-07-04,10050.0,10100.0,9700.0,9940.0,2100.0,4970.0
47,2018-07-05,9790.0,10080.0,9720.0,9850.0,3500.0,4925.0
48,2018-07-06,9900.0,10180.0,9800.0,9900.0,4700.0,4950.0
49,2018-07-09,10050.0,10380.0,10000.0,10200.0,4900.0,5100.0
50,2018-07-10,10320.0,10320.0,10070.0,10200.0,3000.0,5100.0
51,2018-07-11,10200.0,10200.0,10090.0,10200.0,400.0,5100.0
52,2018-07-12,10250.0,10250.0,10030.0,10070.0,1600.0,5035.0
53,2018-07-13,10140.0,10630.0,9920.0,9920.0,6400.0,4960.0
54,2018-07-17,9980.0,9990.0,9820.0,9830.0,2500.0,4915.0
55,2018-07-18,9900.0,10300.0,9900.0,10290.0,3800.0,5145.0
56,2018-07-19,10390.0,10580.0,10140.0,10180.0,5100.0,5090.0
57,2018-07-20,10180.0,10290.0,10080.0,10270.0,2500.0,5135.0
58,2018-07-23,10270.0,10340.0,10040.0,10310.0,5200.0,5155.0
59,2018-07-24,10430.0,11300.0,10360.0,11190.0,14000.0,5595.0
60,2018-07-25,11190.0,11500.0,11030.0,11340.0,13800.0,5670.0
61,2018-07-26,11480.0,11490.0,11120.0,11170.0,3300.0,5585.0
62,2018-07-27,11390.0,11390.0,10950.0,11290.0,4100.0,5645.0
63,2018-07-30,11480.0,11480.0,10850.0,11360.0,6500.0,5680.0
64,2018-07-31,11290.0,11290.0,11090.0,11090.0,1000.0,5545.0
65,2018-08-01,10800.0,11130.0,10800.0,10850.0,2000.0,5425.0
66,2018-08-02,10720.0,10870.0,10610.0,10710.0,1300.0,5355.0
67,2018-08-03,10900.0,11100.0,10810.0,10890.0,2300.0,5445.0
68,2018-08-06,11140.0,11140.0,10710.0,10850.0,1700.0,5425.0
69,2018-08-07,10850.0,11020.0,10720.0,10990.0,800.0,5495.0
70,2018-08-08,10890.0,11200.0,10720.0,11100.0,4500.0,5550.0
71,2018-08-09,11100.0,11230.0,10890.0,11100.0,1200.0,5550.0
72,2018-08-10,11250.0,11400.0,10920.0,10920.0,3400.0,5460.0
73,2018-08-13,10800.0,10950.0,10770.0,10890.0,1500.0,5445.0
74,2018-08-14,10920.0,11200.0,10890.0,11110.0,3000.0,5555.0
75,2018-08-15,11250.0,11400.0,11000.0,11100.0,4300.0,5550.0
76,2018-08-16,11240.0,12090.0,11050.0,11930.0,11100.0,5965.0
77,2018-08-17,12000.0,12190.0,11690.0,11750.0,7000.0,5875.0
78,2018-08-20,11780.0,11950.0,11250.0,11590.0,6200.0,5795.0
79,2018-08-21,11590.0,12300.0,11590.0,12120.0,7600.0,6060.0
80,2018-08-22,12170.0,12370.0,11820.0,12120.0,2800.0,6060.0
81,2018-08-23,12160.0,12160.0,11540.0,11700.0,5700.0,5850.0
82,2018-08-24,11610.0,11690.0,11200.0,11640.0,6500.0,5820.0
83,2018-08-27,11600.0,11650.0,11400.0,11420.0,1900.0,5710.0
84,2018-08-28,11500.0,11510.0,11300.0,11300.0,2600.0,5650.0
85,2018-08-29,11380.0,11660.0,11380.0,11520.0,3500.0,5760.0
86,2018-08-30,11620.0,12000.0,11620.0,11790.0,3000.0,5895.0
87,2018-08-31,11690.0,11950.0,11470.0,11610.0,3700.0,5805.0
88,2018-09-03,11610.0,11700.0,11450.0,11540.0,2100.0,5770.0
89,2018-09-04,11440.0,11600.0,11400.0,11480.0,1500.0,5740.0
90,2018-09-05,11530.0,12000.0,11530.0,11870.0,4800.0,5935.0
91,2018-09-06,11830.0,11990.0,11670.0,11820.0,3100.0,5910.0
92,2018-09-07,11800.0,11880.0,11580.0,11830.0,2300.0,5915.0
93,2018-09-10,11850.0,12350.0,11840.0,12310.0,6300.0,6155.0
94,2018-09-11,12210.0,12210.0,11790.0,11980.0,4700.0,5990.0
95,2018-09-12,12000.0,12140.0,11740.0,11760.0,1700.0,5880.0
96,2018-09-13,11760.0,12000.0,10720.0,10720.0,15500.0,5360.0
97,2018-09-14,10720.0,10800.0,10000.0,10300.0,17600.0,5150.0
98,2018-09-18,10270.0,10750.0,10160.0,10260.0,6600.0,5130.0
99,2018-09-19,10300.0,10530.0,10300.0,10400.0,3100.0,5200.0
100,2018-09-20,10520.0,11150.0,10400.0,11030.0,5400.0,5515.0
101,2018-09-21,10840.0,11020.0,10380.0,10490.0,6500.0,5245.0
102,2018-09-25,10510.0,10720.0,10420.0,10430.0,3900.0,5215.0
103,2018-09-26,10430.0,10700.0,10430.0,10460.0,1700.0,5230.0
104,2018-09-27,10450.0,10450.0,10180.0,10220.0,5500.0,5110.0
105,2018-09-28,10410.0,10410.0,10190.0,10200.0,6100.0,5100.0
106,2018-10-01,10200.0,10250.0,10040.0,10050.0,9500.0,5025.0
107,2018-10-02,10060.0,10060.0,9850.0,9860.0,15700.0,4930.0
108,2018-10-03,9910.0,10030.0,9870.0,9870.0,5700.0,4935.0
109,2018-10-04,9880.0,9980.0,9880.0,9950.0,3400.0,4975.0
