,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-11-07,3500.0,3740.0,3315.0,3450.0,765800.0,3450.0
1,2018-11-08,3405.0,3510.0,2950.0,3060.0,608100.0,3060.0
2,2018-11-09,3015.0,3300.0,2973.0,3095.0,412900.0,3095.0
3,2018-11-12,3195.0,3450.0,3050.0,3085.0,402900.0,3085.0
4,2018-11-13,2973.0,3035.0,2807.0,2920.0,137300.0,2920.0
5,2018-11-14,2970.0,3265.0,2966.0,3035.0,245000.0,3035.0
6,2018-11-15,2835.0,2900.0,2510.0,2575.0,192100.0,2575.0
7,2018-11-16,2599.0,2650.0,2515.0,2550.0,101700.0,2550.0
8,2018-11-19,2513.0,2577.0,2399.0,2469.0,66500.0,2469.0
9,2018-11-20,2408.0,2435.0,2260.0,2279.0,70600.0,2279.0
10,2018-11-21,2150.0,2270.0,2100.0,2226.0,66700.0,2226.0
11,2018-11-22,2260.0,2364.0,2260.0,2292.0,60700.0,2292.0
12,2018-11-26,2315.0,2543.0,2312.0,2496.0,95800.0,2496.0
13,2018-11-27,2500.0,2855.0,2471.0,2486.0,263900.0,2486.0
14,2018-11-28,2670.0,2829.0,2558.0,2580.0,186400.0,2580.0
15,2018-11-29,2648.0,2714.0,2505.0,2681.0,97000.0,2681.0
16,2018-11-30,2642.0,2665.0,2525.0,2525.0,44200.0,2525.0
17,2018-12-03,2490.0,2557.0,2450.0,2500.0,27800.0,2500.0
18,2018-12-04,2502.0,2502.0,2354.0,2354.0,44000.0,2354.0
19,2018-12-05,2254.0,2340.0,2240.0,2340.0,28600.0,2340.0
20,2018-12-06,2350.0,2369.0,2205.0,2225.0,22600.0,2225.0
21,2018-12-07,2252.0,2400.0,2174.0,2397.0,51800.0,2397.0
22,2018-12-10,2347.0,2347.0,2110.0,2113.0,38600.0,2113.0
23,2018-12-11,2132.0,2195.0,1940.0,1969.0,39100.0,1969.0
24,2018-12-12,1973.0,2110.0,1953.0,2110.0,35700.0,2110.0
25,2018-12-13,2081.0,2108.0,2020.0,2099.0,17900.0,2099.0
26,2018-12-14,2059.0,2059.0,1886.0,1910.0,43600.0,1910.0
27,2018-12-17,1870.0,1873.0,1712.0,1734.0,30200.0,1734.0
28,2018-12-18,1735.0,1735.0,1585.0,1644.0,32700.0,1644.0
29,2018-12-19,1628.0,1666.0,1577.0,1643.0,24200.0,1643.0
30,2018-12-20,1570.0,1609.0,1452.0,1481.0,43500.0,1481.0
31,2018-12-21,1549.0,1550.0,1401.0,1500.0,36800.0,1500.0
32,2018-12-25,1430.0,1439.0,1350.0,1355.0,27500.0,1355.0
33,2018-12-26,1423.0,1423.0,1300.0,1331.0,23100.0,1331.0
34,2018-12-27,1418.0,1444.0,1370.0,1419.0,30900.0,1419.0
35,2018-12-28,1419.0,1427.0,1370.0,1390.0,20300.0,1390.0
36,2019-01-04,1330.0,1440.0,1323.0,1434.0,11400.0,1434.0
37,2019-01-07,1475.0,1640.0,1465.0,1489.0,35200.0,1489.0
38,2019-01-08,1499.0,1620.0,1490.0,1535.0,35400.0,1535.0
39,2019-01-09,1539.0,1600.0,1439.0,1442.0,45900.0,1442.0
40,2019-01-10,1442.0,1455.0,1390.0,1391.0,18900.0,1391.0
41,2019-01-11,1409.0,1456.0,1380.0,1431.0,32100.0,1431.0
42,2019-01-15,1428.0,1490.0,1420.0,1465.0,28700.0,1465.0
43,2019-01-16,1492.0,1522.0,1330.0,1380.0,41900.0,1380.0
44,2019-01-17,1410.0,1550.0,1393.0,1530.0,60500.0,1530.0
45,2019-01-18,1599.0,1799.0,1550.0,1715.0,171200.0,1715.0
46,2019-01-21,1818.0,1937.0,1804.0,1900.0,162200.0,1900.0
47,2019-01-22,1860.0,2048.0,1850.0,1988.0,113100.0,1988.0
48,2019-01-23,1956.0,2047.0,1781.0,1785.0,133700.0,1785.0
49,2019-01-24,1811.0,1887.0,1721.0,1865.0,52100.0,1865.0
