,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-01-04,3260.0,3405.0,3260.0,3405.0,6300.0,851.3
1,2018-01-05,3410.0,3590.0,3375.0,3505.0,6200.0,876.3
2,2018-01-09,3585.0,3650.0,3525.0,3640.0,7600.0,910.0
3,2018-01-10,3690.0,3720.0,3620.0,3620.0,4800.0,905.0
4,2018-01-11,3615.0,3660.0,3615.0,3660.0,1100.0,915.0
5,2018-01-12,3660.0,3800.0,3600.0,3645.0,3700.0,911.3
6,2018-01-15,3665.0,3705.0,3655.0,3705.0,1000.0,926.3
7,2018-01-16,3750.0,3770.0,3700.0,3770.0,1200.0,942.5
8,2018-01-17,3720.0,3720.0,3595.0,3650.0,2600.0,912.5
9,2018-01-18,3595.0,3600.0,3505.0,3535.0,2000.0,883.8
10,2018-01-19,3540.0,3695.0,3540.0,3575.0,900.0,893.8
11,2018-01-22,3555.0,3845.0,3545.0,3845.0,9300.0,961.3
12,2018-01-23,3890.0,3950.0,3785.0,3930.0,5200.0,982.5
13,2018-01-24,3880.0,4000.0,3880.0,3970.0,6400.0,992.5
14,2018-01-25,3970.0,4030.0,3925.0,3935.0,2700.0,983.8
15,2018-01-26,3875.0,3905.0,3855.0,3905.0,2200.0,976.3
16,2018-01-29,3845.0,3855.0,3840.0,3845.0,900.0,961.3
17,2018-01-30,3815.0,3815.0,3750.0,3780.0,4700.0,945.0
18,2018-02-01,3780.0,3870.0,3780.0,3795.0,1400.0,948.8
19,2018-02-02,3780.0,3855.0,3775.0,3815.0,2800.0,953.8
20,2018-02-05,3950.0,4515.0,3915.0,4515.0,56300.0,1128.8
21,2018-02-06,4095.0,4525.0,3925.0,4485.0,56200.0,1121.3
22,2018-02-07,4995.0,5000.0,4250.0,4250.0,33300.0,1062.5
23,2018-02-08,4320.0,4420.0,4250.0,4420.0,12200.0,1105.0
24,2018-02-09,4170.0,4550.0,4080.0,4480.0,14600.0,1120.0
25,2018-02-13,5180.0,5180.0,4900.0,5180.0,63200.0,1295.0
26,2018-02-14,5180.0,5190.0,4630.0,4895.0,30100.0,1223.8
27,2018-02-15,4755.0,5390.0,4755.0,5060.0,11700.0,1265.0
28,2018-02-16,5220.0,5450.0,5010.0,5100.0,20400.0,1275.0
29,2018-02-19,5150.0,5300.0,5080.0,5290.0,15800.0,1322.5
30,2018-02-20,5380.0,5500.0,5230.0,5330.0,15600.0,1332.5
31,2018-02-21,5330.0,5330.0,5200.0,5300.0,8100.0,1325.0
32,2018-02-22,5200.0,5400.0,5200.0,5390.0,8600.0,1347.5
33,2018-02-23,5490.0,5570.0,5410.0,5440.0,6800.0,1360.0
34,2018-02-26,5540.0,5540.0,5400.0,5430.0,5800.0,1357.5
35,2018-02-27,5490.0,5500.0,5410.0,5430.0,4000.0,1357.5
36,2018-02-28,5430.0,5480.0,5370.0,5390.0,4400.0,1347.5
37,2018-03-01,5370.0,5380.0,5110.0,5140.0,9400.0,1285.0
38,2018-03-02,5060.0,5220.0,4990.0,5140.0,5500.0,1285.0
39,2018-03-05,5150.0,5250.0,5050.0,5100.0,6800.0,1285.0
40,2018-03-06,5220.0,5250.0,5140.0,5210.0,2600.0,1302.5
41,2018-03-07,5280.0,5650.0,5280.0,5550.0,13500.0,1387.5
42,2018-03-08,5720.0,5810.0,5610.0,5720.0,7500.0,1430.0
43,2018-03-09,5820.0,6120.0,5820.0,6110.0,12300.0,1527.5
44,2018-03-12,6210.0,6650.0,6180.0,6420.0,23000.0,1605.0
45,2018-03-13,6420.0,6590.0,6150.0,6160.0,13500.0,1540.0
46,2018-03-14,6130.0,6630.0,6060.0,6630.0,8600.0,1657.5
47,2018-03-15,6750.0,6810.0,6430.0,6500.0,10200.0,1625.0
48,2018-03-16,6300.0,6480.0,6150.0,6180.0,11700.0,1545.0
49,2018-03-19,6310.0,6310.0,5670.0,5990.0,10400.0,1497.5
50,2018-03-20,5890.0,6180.0,5850.0,5950.0,7600.0,1487.5
51,2018-03-22,5960.0,6060.0,5900.0,5970.0,6100.0,1492.5
52,2018-03-23,5870.0,5890.0,5670.0,5730.0,5400.0,1432.5
53,2018-03-26,5460.0,5700.0,5160.0,5700.0,11300.0,1425.0
54,2018-03-27,5820.0,6010.0,5610.0,5720.0,12900.0,1430.0
55,2018-03-28,1400.0,1590.0,1400.0,1554.0,23600.0,1554.0
56,2018-03-29,1550.0,1552.0,1486.0,1524.0,13300.0,1524.0
57,2018-03-30,1580.0,1660.0,1570.0,1575.0,35500.0,1575.0
58,2018-04-02,1575.0,1630.0,1543.0,1543.0,25900.0,1543.0
59,2018-04-03,1501.0,1540.0,1500.0,1539.0,14300.0,1539.0
60,2018-04-04,1532.0,1550.0,1510.0,1542.0,9200.0,1542.0
61,2018-04-05,1548.0,1589.0,1526.0,1565.0,7800.0,1565.0
62,2018-04-06,1596.0,1600.0,1481.0,1485.0,26600.0,1485.0
63,2018-04-09,1476.0,1525.0,1476.0,1486.0,11700.0,1486.0
64,2018-04-10,1488.0,1501.0,1475.0,1484.0,7100.0,1484.0
65,2018-04-11,1519.0,1525.0,1474.0,1484.0,6900.0,1484.0
66,2018-04-12,1486.0,1486.0,1403.0,1426.0,17600.0,1426.0
67,2018-04-13,1420.0,1440.0,1360.0,1381.0,19800.0,1381.0
68,2018-04-16,1351.0,1351.0,1289.0,1311.0,27500.0,1311.0
69,2018-04-17,1297.0,1303.0,1225.0,1290.0,17400.0,1290.0
70,2018-04-18,1298.0,1353.0,1277.0,1316.0,18000.0,1316.0
